c_s,a_s,t,val,d,sid
170,plate_captured,2026-01-13 18:39:24,AAA120,E2,E2_camera
171,motion_detected,2026-01-13 18:39:50,1,E2,E2_motion
171,plate_captured,2026-01-13 18:39:52,AAA121,E2,E2_camera
172,motion_detected,2026-01-13 18:40:20,1,E2,E2_motion
172,plate_captured,2026-01-13 18:40:24,AAA122,E2,E2_camera
173,motion_detected,2026-01-13 18:40:50,1,E2,E2_motion
173,plate_captured,2026-01-13 18:40:52,AAA123,E2,E2_camera
174,motion_detected,2026-01-13 18:41:20,1,E2,E2_motion
174,plate_captured,2026-01-13 18:41:24,AAA124,E2,E2_camera
175,motion_detected,2026-01-13 18:41:50,1,E2,E2_motion
175,plate_captured,2026-01-13 18:41:51,AAA125,E2,E2_camera
176,motion_detected,2026-01-13 18:42:20,1,E2,E2_motion
176,plate_captured,2026-01-13 18:42:21,AAA126,E2,E2_camera
177,motion_detected,2026-01-13 18:42:50,1,E2,E2_motion
177,plate_captured,2026-01-13 18:42:52,AAA127,E2,E2_camera
178,motion_detected,2026-01-13 18:43:20,1,E2,E2_motion
178,plate_captured,2026-01-13 18:43:21,AAA128,E2,E2_camera
179,motion_detected,2026-01-13 18:43:50,1,E2,E2_motion
179,plate_captured,2026-01-13 18:43:52,AAA129,E2,E2_camera
180,motion_detected,2026-01-13 18:44:20,1,E2,E2_motion
180,plate_captured,2026-01-13 18:44:24,AAA130,E2,E2_camera
181,motion_detected,2026-01-13 18:44:50,1,E2,E2_motion
181,plate_captured,2026-01-13 18:44:54,AAA131,E2,E2_camera
182,motion_detected,2026-01-13 18:45:20,1,E2,E2_motion
182,plate_captured,2026-01-13 18:45:21,AAA132,E2,E2_camera
183,motion_detected,2026-01-13 18:45:50,1,E2,E2_motion
183,plate_captured,2026-01-13 18:45:53,AAA133,E2,E2_camera
184,motion_detected,2026-01-13 18:46:20,1,E2,E2_motion
184,plate_captured,2026-01-13 18:46:24,AAA134,E2,E2_camera
185,motion_detected,2026-01-13 18:46:50,1,E2,E2_motion
185,plate_captured,2026-01-13 18:46:52,AAA135,E2,E2_camera
186,motion_detected,2026-01-13 18:47:20,1,E2,E2_motion
186,plate_captured,2026-01-13 18:47:23,AAA136,E2,E2_camera
187,motion_detected,2026-01-13 18:47:50,1,E2,E2_motion
187,plate_captured,2026-01-13 18:47:54,AAA137,E2,E2_camera
188,motion_detected,2026-01-13 18:48:20,1,E2,E2_motion
188,plate_captured,2026-01-13 18:48:24,AAA138,E2,E2_camera
189,motion_detected,2026-01-13 18:48:50,1,E2,E2_motion
189,plate_captured,2026-01-13 18:48:54,AAA139,E2,E2_camera
190,motion_detected,2026-01-13 18:49:20,1,E2,E2_motion
190,plate_captured,2026-01-13 18:49:23,AAA140,E2,E2_camera
191,motion_detected,2026-01-13 18:49:50,1,E2,E2_motion
191,plate_captured,2026-01-13 18:49:53,AAA141,E2,E2_camera
192,motion_detected,2026-01-13 18:50:20,1,E2,E2_motion
192,plate_captured,2026-01-13 18:50:21,AAA142,E2,E2_camera
193,motion_detected,2026-01-13 18:50:50,1,E2,E2_motion
193,plate_captured,2026-01-13 18:50:53,AAA143,E2,E2_camera
194,motion_detected,2026-01-13 18:51:20,1,E2,E2_motion
194,plate_captured,2026-01-13 18:51:23,AAA144,E2,E2_camera
195,motion_detected,2026-01-13 18:51:50,1,E2,E2_motion
195,plate_captured,2026-01-13 18:51:52,AAA145,E2,E2_camera
196,motion_detected,2026-01-13 18:52:20,1,E2,E2_motion
196,plate_captured,2026-01-13 18:52:23,AAA146,E2,E2_camera
197,motion_detected,2026-01-13 18:52:50,1,E2,E2_motion
197,plate_captured,2026-01-13 18:52:54,AAA147,E2,E2_camera
198,motion_detected,2026-01-13 18:53:20,1,E2,E2_motion
198,plate_captured,2026-01-13 18:53:21,AAA148,E2,E2_camera
199,motion_detected,2026-01-13 18:53:50,1,E2,E2_motion
199,plate_captured,2026-01-13 18:53:52,AAA149,E2,E2_camera
200,motion_detected,2026-01-13 18:54:20,1,E2,E2_motion
200,plate_captured,2026-01-13 18:54:23,AAA150,E2,E2_camera
202,motion_detected,2026-01-13 22:05:00,1,E2,E2_motion
202,plate_captured,2026-01-13 22:05:03,BBB201,E2,E2_camera
204,motion_detected,2026-01-14 00:05:00,1,E2,E2_motion
204,plate_captured,2026-01-14 00:05:01,BBB202,E2,E2_camera
206,motion_detected,2026-01-14 02:05:00,1,E2,E2_motion
206,plate_captured,2026-01-14 02:05:03,BBB203,E2,E2_camera
208,motion_detected,2026-01-14 04:05:00,1,E2,E2_motion
208,plate_captured,2026-01-14 04:05:02,BBB204,E2,E2_camera
210,motion_detected,2026-01-14 06:05:00,1,E2,E2_motion
210,plate_captured,2026-01-14 06:05:04,BBB205,E2,E2_camera
212,motion_detected,2026-01-14 08:05:00,1,E2,E2_motion
212,plate_captured,2026-01-14 08:05:01,BBB206,E2,E2_camera
214,motion_detected,2026-01-14 10:05:00,1,E2,E2_motion
214,plate_captured,2026-01-14 10:05:02,BBB207,E2,E2_camera
216,motion_detected,2026-01-14 12:05:00,1,E2,E2_motion
216,plate_captured,2026-01-14 12:05:03,BBB208,E2,E2_camera
218,motion_detected,2026-01-14 14:05:00,1,E2,E2_motion
218,plate_captured,2026-01-14 14:05:02,BBB209,E2,E2_camera
220,motion_detected,2026-01-14 16:05:00,1,E2,E2_motion
220,plate_captured,2026-01-14 16:05:03,BBB210,E2,E2_camera
222,motion_detected,2026-01-14 18:05:00,1,E2,E2_motion
222,plate_captured,2026-01-14 18:05:03,BBB211,E2,E2_camera
224,motion_detected,2026-01-14 20:05:00,1,E2,E2_motion
224,plate_captured,2026-01-14 20:05:03,BBB212,E2,E2_camera
226,motion_detected,2026-01-14 22:05:00,1,E2,E2_motion
226,plate_captured,2026-01-14 22:05:04,BBB213,E2,E2_camera
228,motion_detected,2026-01-15 00:05:00,1,E2,E2_motion
228,plate_captured,2026-01-15 00:05:04,BBB214,E2,E2_camera
230,motion_detected,2026-01-15 02:05:00,1,E2,E2_motion
230,plate_captured,2026-01-15 02:05:04,BBB215,E2,E2_camera
232,motion_detected,2026-01-15 04:05:00,1,E2,E2_motion
232,plate_captured,2026-01-15 04:05:01,BBB216,E2,E2_camera
234,motion_detected,2026-01-15 06:05:00,1,E2,E2_motion
234,plate_captured,2026-01-15 06:05:02,BBB217,E2,E2_camera
236,motion_detected,2026-01-15 08:05:00,1,E2,E2_motion
236,plate_captured,2026-01-15 08:05:03,BBB218,E2,E2_camera
238,motion_detected,2026-01-15 10:05:00,1,E2,E2_motion
238,plate_captured,2026-01-15 10:05:04,BBB219,E2,E2_camera
240,motion_detected,2026-01-15 12:05:00,1,E2,E2_motion
240,plate_captured,2026-01-15 12:05:02,BBB220,E2,E2_camera
242,motion_detected,2026-01-15 14:05:00,1,E2,E2_motion
242,plate_captured,2026-01-15 14:05:02,BBB221,E2,E2_camera
244,motion_detected,2026-01-15 16:05:00,1,E2,E2_motion
244,plate_captured,2026-01-15 16:05:01,BBB222,E2,E2_camera
246,motion_detected,2026-01-15 18:05:00,1,E2,E2_motion
246,plate_captured,2026-01-15 18:05:02,BBB223,E2,E2_camera
248,motion_detected,2026-01-15 20:05:00,1,E2,E2_motion
248,plate_captured,2026-01-15 20:05:04,BBB224,E2,E2_camera
250,motion_detected,2026-01-15 22:05:00,1,E2,E2_motion
250,plate_captured,2026-01-15 22:05:03,BBB225,E2,E2_camera
252,motion_detected,2026-01-16 00:05:00,1,E2,E2_motion
252,plate_captured,2026-01-16 00:05:03,BBB226,E2,E2_camera
254,motion_detected,2026-01-16 02:05:00,1,E2,E2_motion
254,plate_captured,2026-01-16 02:05:04,BBB227,E2,E2_camera
256,motion_detected,2026-01-16 04:05:00,1,E2,E2_motion
256,plate_captured,2026-01-16 04:05:04,BBB228,E2,E2_camera
258,motion_detected,2026-01-16 06:05:00,1,E2,E2_motion
258,plate_captured,2026-01-16 06:05:01,BBB229,E2,E2_camera
260,motion_detected,2026-01-16 08:05:00,1,E2,E2_motion
260,plate_captured,2026-01-16 08:05:03,BBB230,E2,E2_camera
262,motion_detected,2026-01-16 10:05:00,1,E2,E2_motion
262,plate_captured,2026-01-16 10:05:03,BBB231,E2,E2_camera
264,motion_detected,2026-01-16 12:05:00,1,E2,E2_motion
264,plate_captured,2026-01-16 12:05:02,BBB232,E2,E2_camera
266,motion_detected,2026-01-16 14:05:00,1,E2,E2_motion
266,plate_captured,2026-01-16 14:05:01,BBB233,E2,E2_camera
268,motion_detected,2026-01-16 16:05:00,1,E2,E2_motion
268,plate_captured,2026-01-16 16:05:02,BBB234,E2,E2_camera
270,motion_detected,2026-01-16 18:05:00,1,E2,E2_motion
270,plate_captured,2026-01-16 18:05:03,BBB235,E2,E2_camera
272,motion_detected,2026-01-16 20:05:00,1,E2,E2_motion
272,plate_captured,2026-01-16 20:05:03,BBB236,E2,E2_camera
274,motion_detected,2026-01-16 22:05:00,1,E2,E2_motion
274,plate_captured,2026-01-16 22:05:04,BBB237,E2,E2_camera
276,motion_detected,2026-01-17 00:05:00,1,E2,E2_motion
276,plate_captured,2026-01-17 00:05:04,BBB238,E2,E2_camera
278,motion_detected,2026-01-17 02:05:00,1,E2,E2_motion
278,plate_captured,2026-01-17 02:05:02,BBB239,E2,E2_camera
280,motion_detected,2026-01-17 04:05:00,1,E2,E2_motion
280,plate_captured,2026-01-17 04:05:04,BBB240,E2,E2_camera
282,motion_detected,2026-01-17 06:05:00,1,E2,E2_motion
282,plate_captured,2026-01-17 06:05:04,BBB241,E2,E2_camera
284,motion_detected,2026-01-17 08:05:00,1,E2,E2_motion
284,plate_captured,2026-01-17 08:05:04,BBB242,E2,E2_camera
286,motion_detected,2026-01-17 10:05:00,1,E2,E2_motion
286,plate_captured,2026-01-17 10:05:02,BBB243,E2,E2_camera
288,motion_detected,2026-01-17 12:05:00,1,E2,E2_motion
288,plate_captured,2026-01-17 12:05:02,BBB244,E2,E2_camera
290,motion_detected,2026-01-17 14:05:00,1,E2,E2_motion
290,plate_captured,2026-01-17 14:05:02,BBB245,E2,E2_camera
292,motion_detected,2026-01-17 16:05:00,1,E2,E2_motion
292,plate_captured,2026-01-17 16:05:01,BBB246,E2,E2_camera
294,motion_detected,2026-01-17 18:05:00,1,E2,E2_motion
294,plate_captured,2026-01-17 18:05:04,BBB247,E2,E2_camera
296,motion_detected,2026-01-17 20:05:00,1,E2,E2_motion
296,plate_captured,2026-01-17 20:05:04,BBB248,E2,E2_camera
298,motion_detected,2026-01-17 22:05:00,1,E2,E2_motion
298,plate_captured,2026-01-17 22:05:01,BBB249,E2,E2_camera
300,motion_detected,2026-01-18 00:05:00,1,E2,E2_motion
300,plate_captured,2026-01-18 00:05:04,BBB250,E2,E2_camera
