c,a,t,val
45,plate_captured_E1,2026-01-13 18:22:00,AAA144
46,motion_detected_E1,2026-01-13 18:22:26,1
46,plate_captured_E1,2026-01-13 18:22:30,AAA145
47,motion_detected_E1,2026-01-13 18:22:56,1
47,plate_captured_E1,2026-01-13 18:22:59,AAA146
48,motion_detected_E1,2026-01-13 18:23:26,1
48,plate_captured_E1,2026-01-13 18:23:30,AAA147
49,motion_detected_E1,2026-01-13 18:23:56,1
50,motion_detected_E1,2026-01-13 18:24:26,1
50,plate_captured_E1,2026-01-13 18:24:30,AAA149
51,motion_detected_E1,2026-01-13 18:24:56,1
51,plate_captured_E1,2026-01-13 18:24:57,AAA150
52,motion_detected_E2,2026-01-13 18:30:27,1
52,plate_captured_E2,2026-01-13 18:30:28,AAA102
53,motion_detected_E2,2026-01-13 18:30:57,1
53,plate_captured_E2,2026-01-13 18:31:00,AAA103
54,motion_detected_E2,2026-01-13 18:31:27,1
54,plate_captured_E2,2026-01-13 18:31:28,AAA104
55,motion_detected_E2,2026-01-13 18:31:57,1
55,plate_captured_E2,2026-01-13 18:31:59,AAA105
56,motion_detected_E2,2026-01-13 18:32:27,1
56,plate_captured_E2,2026-01-13 18:32:30,AAA106
57,motion_detected_E2,2026-01-13 18:32:57,1
57,plate_captured_E2,2026-01-13 18:33:01,AAA107
58,motion_detected_E2,2026-01-13 18:33:27,1
58,plate_captured_E2,2026-01-13 18:33:31,AAA108
59,motion_detected_E2,2026-01-13 18:33:57,1
59,plate_captured_E2,2026-01-13 18:34:01,AAA109
60,motion_detected_E2,2026-01-13 18:34:27,1
60,plate_captured_E2,2026-01-13 18:34:31,AAA110
61,motion_detected_E2,2026-01-13 18:34:57,1
61,plate_captured_E2,2026-01-13 18:34:58,AAA111
62,motion_detected_E2,2026-01-13 18:35:27,1
62,plate_captured_E2,2026-01-13 18:35:28,AAA112
63,motion_detected_E2,2026-01-13 18:35:57,1
63,plate_captured_E2,2026-01-13 18:35:58,AAA113
64,motion_detected_E2,2026-01-13 18:36:27,1
64,plate_captured_E2,2026-01-13 18:36:31,AAA114
65,plate_captured_E2,2026-01-13 18:37:01,AAA115
66,motion_detected_E2,2026-01-13 18:37:27,1
66,plate_captured_E2,2026-01-13 18:37:28,AAA116
67,motion_detected_E2,2026-01-13 18:37:57,1
67,plate_captured_E2,2026-01-13 18:37:59,AAA117
68,motion_detected_E2,2026-01-13 18:38:27,1
68,plate_captured_E2,2026-01-13 18:38:30,AAA118
69,motion_detected_E2,2026-01-13 18:38:57,1
69,plate_captured_E2,2026-01-13 18:38:59,AAA119
70,motion_detected_E2,2026-01-13 18:39:27,1
70,plate_captured_E2,2026-01-13 18:39:28,AAA120
71,motion_detected_E2,2026-01-13 18:39:57,1
71,plate_captured_E2,2026-01-13 18:39:58,AAA121
72,motion_detected_E2,2026-01-13 18:40:27,1
72,plate_captured_E2,2026-01-13 18:40:30,AAA122
73,motion_detected_E2,2026-01-13 18:40:57,1
74,motion_detected_E2,2026-01-13 18:41:27,1
74,plate_captured_E2,2026-01-13 18:41:28,AAA124
75,motion_detected_E2,2026-01-13 18:41:57,1
75,plate_captured_E2,2026-01-13 18:42:01,AAA125
76,motion_detected_E2,2026-01-13 18:42:27,1
76,plate_captured_E2,2026-01-13 18:42:31,AAA126
77,motion_detected_E2,2026-01-13 18:42:57,1
77,plate_captured_E2,2026-01-13 18:43:00,AAA127
78,motion_detected_E2,2026-01-13 18:43:27,1
78,plate_captured_E2,2026-01-13 18:43:30,AAA128
79,motion_detected_E2,2026-01-13 18:43:57,1
79,plate_captured_E2,2026-01-13 18:44:01,AAA129
80,motion_detected_E2,2026-01-13 18:44:27,1
80,plate_captured_E2,2026-01-13 18:44:29,AAA130
81,motion_detected_E2,2026-01-13 18:44:57,1
81,plate_captured_E2,2026-01-13 18:44:58,AAA131
82,motion_detected_E2,2026-01-13 18:45:27,1
83,motion_detected_E2,2026-01-13 18:45:57,1
83,plate_captured_E2,2026-01-13 18:46:00,AAA133
84,motion_detected_E2,2026-01-13 18:46:27,1
85,motion_detected_E2,2026-01-13 18:46:57,1
85,plate_captured_E2,2026-01-13 18:46:59,AAA135
86,motion_detected_E2,2026-01-13 18:47:27,1
86,plate_captured_E2,2026-01-13 18:47:30,AAA136
87,motion_detected_E2,2026-01-13 18:47:57,1
87,plate_captured_E2,2026-01-13 18:48:01,AAA137
88,motion_detected_E2,2026-01-13 18:48:27,1
88,plate_captured_E2,2026-01-13 18:48:30,AAA138
89,motion_detected_E2,2026-01-13 18:48:57,1
89,plate_captured_E2,2026-01-13 18:49:01,AAA139
90,motion_detected_E2,2026-01-13 18:49:27,1
90,plate_captured_E2,2026-01-13 18:49:30,AAA140
91,motion_detected_E2,2026-01-13 18:50:27,1
91,plate_captured_E2,2026-01-13 18:50:28,AAA142
92,motion_detected_E2,2026-01-13 18:50:57,1
92,plate_captured_E2,2026-01-13 18:51:00,AAA143
93,motion_detected_E2,2026-01-13 18:51:27,1
93,plate_captured_E2,2026-01-13 18:51:29,AAA144
94,motion_detected_E2,2026-01-13 18:51:57,1
95,motion_detected_E2,2026-01-13 18:52:27,1
95,plate_captured_E2,2026-01-13 18:52:31,AAA146
96,motion_detected_E2,2026-01-13 18:52:57,1
96,plate_captured_E2,2026-01-13 18:52:59,AAA147
97,motion_detected_E2,2026-01-13 18:53:27,1
97,plate_captured_E2,2026-01-13 18:53:29,AAA148
98,plate_captured_E2,2026-01-13 18:54:00,AAA149
99,plate_captured_E2,2026-01-13 18:54:28,AAA150
99,dim_E2,2026-01-13 18:54:31,
99,E2_dim_alert_E1_E2,2026-01-13 18:54:32,
99,E2_dim_alert_W1_E2,2026-01-13 18:54:35,
99,E2_dim_alert_E1_E1,2026-01-13 18:54:38,
99,dim_E1,2026-01-13 18:54:40,
99,E2_dim_alert_W1_W1,2026-01-13 18:54:42,
99,dim_W1,2026-01-13 18:54:43,
100,plate_captured_E1,2026-01-13 22:00:04,BBB201
100,turn_on_E1,2026-01-13 22:00:07,
100,E1_turn_on_alert_E2_E1,2026-01-13 22:00:10,
100,E1_turn_on_alert_W1_E1,2026-01-13 22:00:12,
100,E1_turn_on_alert_W1_W1,2026-01-13 22:00:16,
100,turn_on_W1,2026-01-13 22:00:20,
100,E1_turn_on_alert_E2_E2,2026-01-13 22:00:24,
100,turn_on_E2,2026-01-13 22:00:25,
101,motion_detected_E2,2026-01-13 22:05:00,1
101,plate_captured_E2,2026-01-13 22:05:01,BBB201
101,dim_E2,2026-01-13 22:05:04,
101,E2_dim_alert_E1_E2,2026-01-13 22:05:08,
101,E2_dim_alert_W1_E2,2026-01-13 22:05:12,
101,E2_dim_alert_W1_W1,2026-01-13 22:05:13,
101,dim_W1,2026-01-13 22:05:16,
101,E2_dim_alert_E1_E1,2026-01-13 22:05:20,
101,dim_E1,2026-01-13 22:05:23,
102,motion_detected_E1,2026-01-14 00:00:00,1
102,plate_captured_E1,2026-01-14 00:00:04,BBB202
102,turn_on_E1,2026-01-14 00:00:06,
102,E1_turn_on_alert_E2_E1,2026-01-14 00:00:09,
102,E1_turn_on_alert_W1_E1,2026-01-14 00:00:13,
102,E1_turn_on_alert_E2_E2,2026-01-14 00:00:15,
102,turn_on_E2,2026-01-14 00:00:19,
102,E1_turn_on_alert_W1_W1,2026-01-14 00:00:20,
102,turn_on_W1,2026-01-14 00:00:23,
103,motion_detected_E2,2026-01-14 00:05:00,1
103,plate_captured_E2,2026-01-14 00:05:03,BBB202
103,dim_E2,2026-01-14 00:05:04,
103,E2_dim_alert_E1_E2,2026-01-14 00:05:05,
103,E2_dim_alert_W1_E2,2026-01-14 00:05:08,
103,E2_dim_alert_E1_E1,2026-01-14 00:05:11,
103,dim_E1,2026-01-14 00:05:12,
103,E2_dim_alert_W1_W1,2026-01-14 00:05:16,
103,dim_W1,2026-01-14 00:05:17,
104,motion_detected_E1,2026-01-14 02:00:00,1
104,plate_captured_E1,2026-01-14 02:00:03,BBB203
104,turn_on_E1,2026-01-14 02:00:07,
104,E1_turn_on_alert_E2_E1,2026-01-14 02:00:08,
104,E1_turn_on_alert_W1_E1,2026-01-14 02:00:10,
105,turn_on_W1,2026-01-14 02:00:16,
105,E1_turn_on_alert_E2_E2,2026-01-14 02:00:20,
105,turn_on_E2,2026-01-14 02:00:24,
106,motion_detected_E2,2026-01-14 02:05:00,1
106,plate_captured_E2,2026-01-14 02:05:03,BBB203
106,dim_E2,2026-01-14 02:05:07,
106,E2_dim_alert_E1_E2,2026-01-14 02:05:10,
106,E2_dim_alert_W1_E2,2026-01-14 02:05:12,
106,E2_dim_alert_W1_W1,2026-01-14 02:05:14,
106,dim_W1,2026-01-14 02:05:16,
107,dim_E1,2026-01-14 02:05:21,
108,motion_detected_E1,2026-01-14 04:00:00,1
108,plate_captured_E1,2026-01-14 04:00:01,BBB204
108,turn_on_E1,2026-01-14 04:00:03,
108,E1_turn_on_alert_E2_E1,2026-01-14 04:00:05,
109,E1_turn_on_alert_E2_E2,2026-01-14 04:00:11,
110,E1_turn_on_alert_W1_W1,2026-01-14 04:00:17,
110,turn_on_W1,2026-01-14 04:00:21,
111,plate_captured_E2,2026-01-14 04:05:01,BBB204
111,dim_E2,2026-01-14 04:05:03,
111,E2_dim_alert_E1_E2,2026-01-14 04:05:07,
111,E2_dim_alert_W1_E2,2026-01-14 04:05:09,
111,E2_dim_alert_E1_E1,2026-01-14 04:05:10,
112,E2_dim_alert_W1_W1,2026-01-14 04:05:15,
112,dim_W1,2026-01-14 04:05:16,
113,motion_detected_E1,2026-01-14 06:00:00,1
113,plate_captured_E1,2026-01-14 06:00:01,BBB205
113,turn_on_E1,2026-01-14 06:00:04,
114,E1_turn_on_alert_W1_W1,2026-01-14 06:00:12,
114,turn_on_W1,2026-01-14 06:00:13,
114,E1_turn_on_alert_E2_E2,2026-01-14 06:00:14,
114,turn_on_E2,2026-01-14 06:00:16,
115,motion_detected_E2,2026-01-14 06:05:00,1
115,plate_captured_E2,2026-01-14 06:05:03,BBB205
115,dim_E2,2026-01-14 06:05:04,
115,E2_dim_alert_E1_E2,2026-01-14 06:05:05,
115,E2_dim_alert_W1_E2,2026-01-14 06:05:08,
115,E2_dim_alert_W1_W1,2026-01-14 06:05:11,
115,dim_W1,2026-01-14 06:05:13,
115,E2_dim_alert_E1_E1,2026-01-14 06:05:15,
115,dim_E1,2026-01-14 06:05:18,
116,motion_detected_E1,2026-01-14 08:00:00,1
116,plate_captured_E1,2026-01-14 08:00:01,BBB206
116,turn_on_E1,2026-01-14 08:00:05,
117,E1_turn_on_alert_W1_E1,2026-01-14 08:00:10,
117,E1_turn_on_alert_E2_E2,2026-01-14 08:00:14,
117,turn_on_E2,2026-01-14 08:00:15,
118,turn_on_W1,2026-01-14 08:00:21,
119,motion_detected_E2,2026-01-14 08:05:00,1
119,plate_captured_E2,2026-01-14 08:05:02,BBB206
119,dim_E2,2026-01-14 08:05:05,
119,E2_dim_alert_E1_E2,2026-01-14 08:05:07,
119,E2_dim_alert_W1_E2,2026-01-14 08:05:08,
119,E2_dim_alert_E1_E1,2026-01-14 08:05:12,
119,dim_E1,2026-01-14 08:05:16,
119,E2_dim_alert_W1_W1,2026-01-14 08:05:17,
119,dim_W1,2026-01-14 08:05:20,
120,motion_detected_E1,2026-01-14 10:00:00,1
120,plate_captured_E1,2026-01-14 10:00:04,BBB207
120,turn_on_E1,2026-01-14 10:00:06,
120,E1_turn_on_alert_E2_E1,2026-01-14 10:00:08,
120,E1_turn_on_alert_W1_E1,2026-01-14 10:00:10,
120,E1_turn_on_alert_W1_W1,2026-01-14 10:00:14,
120,turn_on_W1,2026-01-14 10:00:17,
120,E1_turn_on_alert_E2_E2,2026-01-14 10:00:20,
121,motion_detected_E2,2026-01-14 10:05:00,1
121,plate_captured_E2,2026-01-14 10:05:01,BBB207
121,dim_E2,2026-01-14 10:05:05,
121,E2_dim_alert_E1_E2,2026-01-14 10:05:08,
121,E2_dim_alert_W1_E2,2026-01-14 10:05:10,
121,E2_dim_alert_W1_W1,2026-01-14 10:05:14,
121,dim_W1,2026-01-14 10:05:16,
121,E2_dim_alert_E1_E1,2026-01-14 10:05:17,
122,motion_detected_E1,2026-01-14 12:00:00,1
122,plate_captured_E1,2026-01-14 12:00:02,BBB208
122,turn_on_E1,2026-01-14 12:00:04,
122,E1_turn_on_alert_E2_E1,2026-01-14 12:00:05,
122,E1_turn_on_alert_W1_E1,2026-01-14 12:00:09,
122,E1_turn_on_alert_E2_E2,2026-01-14 12:00:11,
122,turn_on_E2,2026-01-14 12:00:15,
122,E1_turn_on_alert_W1_W1,2026-01-14 12:00:16,
122,turn_on_W1,2026-01-14 12:00:18,
123,plate_captured_E2,2026-01-14 12:05:01,BBB208
123,dim_E2,2026-01-14 12:05:05,
123,E2_dim_alert_E1_E2,2026-01-14 12:05:09,
123,E2_dim_alert_W1_E2,2026-01-14 12:05:11,
123,E2_dim_alert_E1_E1,2026-01-14 12:05:14,
123,dim_E1,2026-01-14 12:05:17,
123,E2_dim_alert_W1_W1,2026-01-14 12:05:19,
123,dim_W1,2026-01-14 12:05:23,
124,motion_detected_E1,2026-01-14 14:00:00,1
124,plate_captured_E1,2026-01-14 14:00:03,BBB209
124,turn_on_E1,2026-01-14 14:00:06,
124,E1_turn_on_alert_W1_E1,2026-01-14 14:00:08,
124,E1_turn_on_alert_W1_W1,2026-01-14 14:00:12,
125,E1_turn_on_alert_E2_E2,2026-01-14 14:00:17,
125,turn_on_E2,2026-01-14 14:00:21,
126,motion_detected_E2,2026-01-14 14:05:00,1
126,plate_captured_E2,2026-01-14 14:05:02,BBB209
126,dim_E2,2026-01-14 14:05:04,
126,E2_dim_alert_E1_E2,2026-01-14 14:05:06,
126,E2_dim_alert_W1_E2,2026-01-14 14:05:07,
126,E2_dim_alert_W1_W1,2026-01-14 14:05:08,
126,dim_W1,2026-01-14 14:05:12,
126,E2_dim_alert_E1_E1,2026-01-14 14:05:16,
126,dim_E1,2026-01-14 14:05:17,
127,motion_detected_E1,2026-01-14 16:00:00,1
127,plate_captured_E1,2026-01-14 16:00:04,BBB210
127,turn_on_E1,2026-01-14 16:00:05,
127,E1_turn_on_alert_E2_E1,2026-01-14 16:00:08,
127,E1_turn_on_alert_W1_E1,2026-01-14 16:00:09,
127,E1_turn_on_alert_E2_E2,2026-01-14 16:00:11,
127,turn_on_E2,2026-01-14 16:00:15,
127,E1_turn_on_alert_W1_W1,2026-01-14 16:00:19,
127,turn_on_W1,2026-01-14 16:00:20,
128,motion_detected_E2,2026-01-14 16:05:00,1
128,plate_captured_E2,2026-01-14 16:05:03,BBB210
128,dim_E2,2026-01-14 16:05:07,
129,E2_dim_alert_W1_E2,2026-01-14 16:05:15,
129,E2_dim_alert_E1_E1,2026-01-14 16:05:16,
130,E2_dim_alert_W1_W1,2026-01-14 16:05:22,
130,dim_W1,2026-01-14 16:05:25,
131,motion_detected_E1,2026-01-14 18:00:00,1
131,plate_captured_E1,2026-01-14 18:00:01,BBB211
131,turn_on_E1,2026-01-14 18:00:04,
131,E1_turn_on_alert_E2_E1,2026-01-14 18:00:07,
131,E1_turn_on_alert_W1_E1,2026-01-14 18:00:09,
131,E1_turn_on_alert_W1_W1,2026-01-14 18:00:10,
131,turn_on_W1,2026-01-14 18:00:12,
131,E1_turn_on_alert_E2_E2,2026-01-14 18:00:14,
131,turn_on_E2,2026-01-14 18:00:16,
132,motion_detected_E2,2026-01-14 18:05:00,1
132,plate_captured_E2,2026-01-14 18:05:03,BBB211
132,dim_E2,2026-01-14 18:05:06,
132,E2_dim_alert_E1_E2,2026-01-14 18:05:10,
132,E2_dim_alert_W1_E2,2026-01-14 18:05:14,
132,E2_dim_alert_W1_W1,2026-01-14 18:05:17,
132,dim_W1,2026-01-14 18:05:18,
132,E2_dim_alert_E1_E1,2026-01-14 18:05:22,
132,dim_E1,2026-01-14 18:05:23,
133,motion_detected_E1,2026-01-14 20:00:00,1
133,plate_captured_E1,2026-01-14 20:00:01,BBB212
133,turn_on_E1,2026-01-14 20:00:02,
133,E1_turn_on_alert_E2_E1,2026-01-14 20:00:04,
133,E1_turn_on_alert_E2_E2,2026-01-14 20:00:07,
133,turn_on_E2,2026-01-14 20:00:10,
133,E1_turn_on_alert_W1_W1,2026-01-14 20:00:12,
133,turn_on_W1,2026-01-14 20:00:13,
134,motion_detected_E2,2026-01-14 20:05:00,1
134,plate_captured_E2,2026-01-14 20:05:04,BBB212
134,dim_E2,2026-01-14 20:05:05,
134,E2_dim_alert_E1_E2,2026-01-14 20:05:09,
134,E2_dim_alert_W1_E2,2026-01-14 20:05:10,
134,E2_dim_alert_E1_E1,2026-01-14 20:05:12,
134,dim_E1,2026-01-14 20:05:15,
134,E2_dim_alert_W1_W1,2026-01-14 20:05:18,
134,dim_W1,2026-01-14 20:05:21,
135,motion_detected_E1,2026-01-14 22:00:00,1
135,plate_captured_E1,2026-01-14 22:00:03,BBB213
135,turn_on_E1,2026-01-14 22:00:07,
136,E1_turn_on_alert_W1_E1,2026-01-14 22:00:12,
137,turn_on_W1,2026-01-14 22:00:19,
137,E1_turn_on_alert_E2_E2,2026-01-14 22:00:23,
137,turn_on_E2,2026-01-14 22:00:27,
138,motion_detected_E2,2026-01-14 22:05:00,1
138,plate_captured_E2,2026-01-14 22:05:02,BBB213
138,dim_E2,2026-01-14 22:05:03,
138,E2_dim_alert_E1_E2,2026-01-14 22:05:04,
138,E2_dim_alert_W1_E2,2026-01-14 22:05:05,
138,E2_dim_alert_W1_W1,2026-01-14 22:05:07,
138,dim_W1,2026-01-14 22:05:09,
138,E2_dim_alert_E1_E1,2026-01-14 22:05:10,
138,dim_E1,2026-01-14 22:05:11,
139,motion_detected_E1,2026-01-15 00:00:00,1
139,plate_captured_E1,2026-01-15 00:00:01,BBB214
139,turn_on_E1,2026-01-15 00:00:04,
139,E1_turn_on_alert_E2_E1,2026-01-15 00:00:05,
139,E1_turn_on_alert_W1_E1,2026-01-15 00:00:08,
139,E1_turn_on_alert_E2_E2,2026-01-15 00:00:09,
139,turn_on_E2,2026-01-15 00:00:13,
139,E1_turn_on_alert_W1_W1,2026-01-15 00:00:14,
139,turn_on_W1,2026-01-15 00:00:15,
140,motion_detected_E2,2026-01-15 00:05:00,1
140,plate_captured_E2,2026-01-15 00:05:01,BBB214
140,dim_E2,2026-01-15 00:05:05,
141,E2_dim_alert_E1_E1,2026-01-15 00:05:12,
141,dim_E1,2026-01-15 00:05:13,
141,E2_dim_alert_W1_W1,2026-01-15 00:05:16,
141,dim_W1,2026-01-15 00:05:19,
142,motion_detected_E1,2026-01-15 02:00:00,1
142,plate_captured_E1,2026-01-15 02:00:04,BBB215
142,turn_on_E1,2026-01-15 02:00:05,
142,E1_turn_on_alert_E2_E1,2026-01-15 02:00:06,
142,E1_turn_on_alert_W1_E1,2026-01-15 02:00:07,
142,E1_turn_on_alert_W1_W1,2026-01-15 02:00:11,
142,turn_on_W1,2026-01-15 02:00:12,
142,E1_turn_on_alert_E2_E2,2026-01-15 02:00:15,
142,turn_on_E2,2026-01-15 02:00:18,
143,motion_detected_E2,2026-01-15 02:05:00,1
143,plate_captured_E2,2026-01-15 02:05:04,BBB215
143,dim_E2,2026-01-15 02:05:07,
143,E2_dim_alert_E1_E2,2026-01-15 02:05:11,
143,E2_dim_alert_W1_E2,2026-01-15 02:05:15,
143,E2_dim_alert_W1_W1,2026-01-15 02:05:17,
143,dim_W1,2026-01-15 02:05:19,
143,E2_dim_alert_E1_E1,2026-01-15 02:05:21,
143,dim_E1,2026-01-15 02:05:23,
144,motion_detected_E1,2026-01-15 04:00:00,1
144,plate_captured_E1,2026-01-15 04:00:04,BBB216
144,turn_on_E1,2026-01-15 04:00:07,
144,E1_turn_on_alert_E2_E1,2026-01-15 04:00:10,
144,E1_turn_on_alert_E2_E2,2026-01-15 04:00:14,
144,turn_on_E2,2026-01-15 04:00:15,
144,E1_turn_on_alert_W1_W1,2026-01-15 04:00:18,
144,turn_on_W1,2026-01-15 04:00:19,
145,plate_captured_E2,2026-01-15 04:05:02,BBB216
145,dim_E2,2026-01-15 04:05:03,
145,E2_dim_alert_E1_E2,2026-01-15 04:05:04,
146,E2_dim_alert_E1_E1,2026-01-15 04:05:10,
146,dim_E1,2026-01-15 04:05:11,
146,E2_dim_alert_W1_W1,2026-01-15 04:05:12,
146,dim_W1,2026-01-15 04:05:15,
147,motion_detected_E1,2026-01-15 06:00:00,1
147,plate_captured_E1,2026-01-15 06:00:04,BBB217
147,turn_on_E1,2026-01-15 06:00:08,
147,E1_turn_on_alert_E2_E1,2026-01-15 06:00:10,
147,E1_turn_on_alert_W1_E1,2026-01-15 06:00:11,
147,E1_turn_on_alert_W1_W1,2026-01-15 06:00:12,
147,turn_on_W1,2026-01-15 06:00:14,
148,turn_on_E2,2026-01-15 06:00:20,
149,motion_detected_E2,2026-01-15 06:05:00,1
149,plate_captured_E2,2026-01-15 06:05:02,BBB217
149,dim_E2,2026-01-15 06:05:06,
149,E2_dim_alert_E1_E2,2026-01-15 06:05:09,
149,E2_dim_alert_W1_E2,2026-01-15 06:05:13,
149,E2_dim_alert_W1_W1,2026-01-15 06:05:15,
149,dim_W1,2026-01-15 06:05:16,
149,E2_dim_alert_E1_E1,2026-01-15 06:05:20,
149,dim_E1,2026-01-15 06:05:24,
150,motion_detected_E1,2026-01-15 08:00:00,1
150,plate_captured_E1,2026-01-15 08:00:02,BBB218
150,turn_on_E1,2026-01-15 08:00:04,
150,E1_turn_on_alert_E2_E1,2026-01-15 08:00:06,
151,E1_turn_on_alert_E2_E2,2026-01-15 08:00:11,
151,turn_on_E2,2026-01-15 08:00:13,
151,E1_turn_on_alert_W1_W1,2026-01-15 08:00:14,
151,turn_on_W1,2026-01-15 08:00:15,
152,motion_detected_E2,2026-01-15 08:05:00,1
152,plate_captured_E2,2026-01-15 08:05:03,BBB218
152,E2_dim_alert_E1_E2,2026-01-15 08:05:05,
153,E2_dim_alert_E1_E1,2026-01-15 08:05:11,
153,dim_E1,2026-01-15 08:05:14,
153,E2_dim_alert_W1_W1,2026-01-15 08:05:15,
153,dim_W1,2026-01-15 08:05:18,
154,motion_detected_E1,2026-01-15 10:00:00,1
154,plate_captured_E1,2026-01-15 10:00:02,BBB219
155,E1_turn_on_alert_E2_E1,2026-01-15 10:00:09,
155,E1_turn_on_alert_W1_E1,2026-01-15 10:00:13,
155,E1_turn_on_alert_W1_W1,2026-01-15 10:00:16,
155,turn_on_W1,2026-01-15 10:00:17,
155,E1_turn_on_alert_E2_E2,2026-01-15 10:00:20,
155,turn_on_E2,2026-01-15 10:00:23,
156,motion_detected_E2,2026-01-15 10:05:00,1
156,plate_captured_E2,2026-01-15 10:05:03,BBB219
156,dim_E2,2026-01-15 10:05:06,
