c_i,a_i,t,m_i,d_s,d_t,d_p
259,E2_dim_alert_W1,2026-01-15 20:05:12,motion detected,E2,W1,E2
260,E1_turn_on_alert_E2,2026-01-15 22:00:22,motion detected,E1,E2,E2
261,E2_dim_alert_E1,2026-01-15 22:05:07,motion detected,E2,E1,E2
261,E2_dim_alert_W1,2026-01-15 22:05:09,motion detected,E2,W1,E2
262,E1_turn_on_alert_E2,2026-01-16 00:00:14,motion detected,E1,E2,E2
263,E2_dim_alert_E1,2026-01-16 00:05:04,motion detected,E2,E1,E2
263,E2_dim_alert_W1,2026-01-16 00:05:08,motion detected,E2,W1,E2
264,E1_turn_on_alert_E2,2026-01-16 02:00:14,motion detected,E1,E2,E2
265,E2_dim_alert_E1,2026-01-16 02:05:09,motion detected,E2,E1,E2
265,E2_dim_alert_W1,2026-01-16 02:05:12,motion detected,E2,W1,E2
266,E1_turn_on_alert_E2,2026-01-16 04:00:13,motion detected,E1,E2,E2
268,E2_dim_alert_W1,2026-01-16 04:05:08,motion detected,E2,W1,E2
269,E1_turn_on_alert_E2,2026-01-16 06:00:13,motion detected,E1,E2,E2
270,E2_dim_alert_E1,2026-01-16 06:05:04,motion detected,E2,E1,E2
270,E2_dim_alert_W1,2026-01-16 06:05:07,motion detected,E2,W1,E2
271,E1_turn_on_alert_E2,2026-01-16 08:00:14,motion detected,E1,E2,E2
273,E2_dim_alert_W1,2026-01-16 08:05:12,motion detected,E2,W1,E2
274,E1_turn_on_alert_E2,2026-01-16 10:00:17,motion detected,E1,E2,E2
275,E2_dim_alert_E1,2026-01-16 10:05:12,motion detected,E2,E1,E2
275,E2_dim_alert_W1,2026-01-16 10:05:13,motion detected,E2,W1,E2
276,E1_turn_on_alert_E2,2026-01-16 12:00:09,motion detected,E1,E2,E2
277,E2_dim_alert_E1,2026-01-16 12:05:04,motion detected,E2,E1,E2
277,E2_dim_alert_W1,2026-01-16 12:05:07,motion detected,E2,W1,E2
278,E1_turn_on_alert_E2,2026-01-16 14:00:13,motion detected,E1,E2,E2
279,E2_dim_alert_E1,2026-01-16 14:05:05,motion detected,E2,E1,E2
279,E2_dim_alert_W1,2026-01-16 14:05:09,motion detected,E2,W1,E2
280,E1_turn_on_alert_E2,2026-01-16 16:00:17,motion detected,E1,E2,E2
281,E2_dim_alert_E1,2026-01-16 16:05:06,motion detected,E2,E1,E2
282,E1_turn_on_alert_E2,2026-01-16 18:00:17,motion detected,E1,E2,E2
284,E2_dim_alert_W1,2026-01-16 18:05:06,motion detected,E2,W1,E2
285,E1_turn_on_alert_E2,2026-01-16 20:00:10,motion detected,E1,E2,E2
286,E2_dim_alert_E1,2026-01-16 20:05:08,motion detected,E2,E1,E2
286,E2_dim_alert_W1,2026-01-16 20:05:12,motion detected,E2,W1,E2
287,E1_turn_on_alert_E2,2026-01-16 22:00:17,motion detected,E1,E2,E2
288,E2_dim_alert_E1,2026-01-16 22:05:10,motion detected,E2,E1,E2
288,E2_dim_alert_W1,2026-01-16 22:05:14,motion detected,E2,W1,E2
289,E1_turn_on_alert_E2,2026-01-17 00:00:11,motion detected,E1,E2,E2
290,E2_dim_alert_E1,2026-01-17 00:05:06,motion detected,E2,E1,E2
291,E1_turn_on_alert_E2,2026-01-17 02:00:15,motion detected,E1,E2,E2
292,E2_dim_alert_E1,2026-01-17 02:05:10,motion detected,E2,E1,E2
292,E2_dim_alert_W1,2026-01-17 02:05:11,motion detected,E2,W1,E2
293,E1_turn_on_alert_E2,2026-01-17 04:00:13,motion detected,E1,E2,E2
294,E2_dim_alert_E1,2026-01-17 04:05:11,motion detected,E2,E1,E2
294,E2_dim_alert_W1,2026-01-17 04:05:15,motion detected,E2,W1,E2
295,E1_turn_on_alert_E2,2026-01-17 06:00:17,motion detected,E1,E2,E2
296,E2_dim_alert_E1,2026-01-17 06:05:08,motion detected,E2,E1,E2
296,E2_dim_alert_W1,2026-01-17 06:05:12,motion detected,E2,W1,E2
298,E2_dim_alert_E1,2026-01-17 08:05:09,motion detected,E2,E1,E2
298,E2_dim_alert_W1,2026-01-17 08:05:11,motion detected,E2,W1,E2
299,E1_turn_on_alert_E2,2026-01-17 10:00:19,motion detected,E1,E2,E2
300,E2_dim_alert_E1,2026-01-17 10:05:08,motion detected,E2,E1,E2
301,E1_turn_on_alert_E2,2026-01-17 12:00:14,motion detected,E1,E2,E2
303,E2_dim_alert_E1,2026-01-17 12:05:09,motion detected,E2,E1,E2
303,E2_dim_alert_W1,2026-01-17 12:05:12,motion detected,E2,W1,E2
304,E1_turn_on_alert_E2,2026-01-17 14:00:18,motion detected,E1,E2,E2
305,E2_dim_alert_E1,2026-01-17 14:05:07,motion detected,E2,E1,E2
305,E2_dim_alert_W1,2026-01-17 14:05:09,motion detected,E2,W1,E2
306,E1_turn_on_alert_E2,2026-01-17 16:00:11,motion detected,E1,E2,E2
307,E2_dim_alert_E1,2026-01-17 16:05:06,motion detected,E2,E1,E2
307,E2_dim_alert_W1,2026-01-17 16:05:08,motion detected,E2,W1,E2
308,E1_turn_on_alert_E2,2026-01-17 18:00:16,motion detected,E1,E2,E2
309,E2_dim_alert_E1,2026-01-17 18:05:06,motion detected,E2,E1,E2
309,E2_dim_alert_W1,2026-01-17 18:05:10,motion detected,E2,W1,E2
310,E1_turn_on_alert_E2,2026-01-17 20:00:11,motion detected,E1,E2,E2
311,E2_dim_alert_E1,2026-01-17 20:05:08,motion detected,E2,E1,E2
311,E2_dim_alert_W1,2026-01-17 20:05:10,motion detected,E2,W1,E2
312,E1_turn_on_alert_E2,2026-01-17 22:00:18,motion detected,E1,E2,E2
314,E2_dim_alert_E1,2026-01-17 22:05:09,motion detected,E2,E1,E2
314,E2_dim_alert_W1,2026-01-17 22:05:13,motion detected,E2,W1,E2
315,E1_turn_on_alert_E2,2026-01-18 00:00:10,motion detected,E1,E2,E2
317,E2_dim_alert_W1,2026-01-18 00:05:13,motion detected,E2,W1,E2
