type,sid,id,m,val,t,d,d_s,d_t,i_c,cmd,m_i,d_p
sensor,E1_camera,,plate_captured,AAA130,2026-01-13 18:15:00,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:15:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA131,2026-01-13 18:15:29,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:15:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA132,2026-01-13 18:15:57,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:16:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA133,2026-01-13 18:16:30,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:16:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA134,2026-01-13 18:16:58,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:17:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA135,2026-01-13 18:17:27,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:17:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA136,2026-01-13 18:17:57,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:18:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA137,2026-01-13 18:18:30,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:18:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA138,2026-01-13 18:18:57,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:19:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA139,2026-01-13 18:19:27,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:19:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA140,2026-01-13 18:19:58,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:20:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA141,2026-01-13 18:20:27,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:20:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA142,2026-01-13 18:20:57,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:21:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA143,2026-01-13 18:21:30,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:21:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA144,2026-01-13 18:22:00,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:22:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA145,2026-01-13 18:22:30,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:22:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA146,2026-01-13 18:22:59,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:23:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA147,2026-01-13 18:23:30,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:23:56,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:24:26,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA149,2026-01-13 18:24:30,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-13 18:24:56,E1,,,,,,
sensor,E1_camera,,plate_captured,AAA150,2026-01-13 18:24:57,E1,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:30:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA102,2026-01-13 18:30:28,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:30:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA103,2026-01-13 18:31:00,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:31:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA104,2026-01-13 18:31:28,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:31:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA105,2026-01-13 18:31:59,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:32:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA106,2026-01-13 18:32:30,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:32:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA107,2026-01-13 18:33:01,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:33:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA108,2026-01-13 18:33:31,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:33:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA109,2026-01-13 18:34:01,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:34:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA110,2026-01-13 18:34:31,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:34:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA111,2026-01-13 18:34:58,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:35:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA112,2026-01-13 18:35:28,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:35:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA113,2026-01-13 18:35:58,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:36:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA114,2026-01-13 18:36:31,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA115,2026-01-13 18:37:01,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:37:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA116,2026-01-13 18:37:28,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:37:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA117,2026-01-13 18:37:59,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:38:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA118,2026-01-13 18:38:30,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:38:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA119,2026-01-13 18:38:59,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:39:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA120,2026-01-13 18:39:28,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:39:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA121,2026-01-13 18:39:58,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:40:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA122,2026-01-13 18:40:30,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:40:57,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:41:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA124,2026-01-13 18:41:28,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:41:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA125,2026-01-13 18:42:01,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:42:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA126,2026-01-13 18:42:31,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:42:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA127,2026-01-13 18:43:00,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:43:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA128,2026-01-13 18:43:30,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:43:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA129,2026-01-13 18:44:01,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:44:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA130,2026-01-13 18:44:29,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:44:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA131,2026-01-13 18:44:58,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:45:27,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:45:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA133,2026-01-13 18:46:00,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:46:27,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:46:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA135,2026-01-13 18:46:59,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:47:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA136,2026-01-13 18:47:30,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:47:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA137,2026-01-13 18:48:01,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:48:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA138,2026-01-13 18:48:30,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:48:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA139,2026-01-13 18:49:01,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:49:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA140,2026-01-13 18:49:30,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:50:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA142,2026-01-13 18:50:28,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:50:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA143,2026-01-13 18:51:00,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:51:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA144,2026-01-13 18:51:29,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:51:57,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:52:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA146,2026-01-13 18:52:31,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:52:57,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA147,2026-01-13 18:52:59,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 18:53:27,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA148,2026-01-13 18:53:29,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA149,2026-01-13 18:54:00,E2,,,,,,
sensor,E2_camera,,plate_captured,AAA150,2026-01-13 18:54:28,E2,,,,,,
actuator,,E2_light,dim,,2026-01-13 18:54:31,E2,,,,,,
interaction,,,,,2026-01-13 18:54:32,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-13 18:54:35,,E2,W1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-13 18:54:38,,E2,E1,MQTT,dim_alert,motion detected,E1
actuator,,E1_light,dim,,2026-01-13 18:54:40,E1,,,,,,
interaction,,,,,2026-01-13 18:54:42,,E2,W1,MQTT,dim_alert,motion detected,W1
actuator,,W1_light,dim,,2026-01-13 18:54:43,W1,,,,,,
sensor,E1_camera,,plate_captured,BBB201,2026-01-13 22:00:04,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-13 22:00:07,E1,,,,,,
interaction,,,,,2026-01-13 22:00:10,,E1,E2,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-13 22:00:12,,E1,W1,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-13 22:00:16,,E1,W1,MQTT,turn_on_alert,motion detected,W1
actuator,,W1_light,turn_on,,2026-01-13 22:00:20,W1,,,,,,
interaction,,,,,2026-01-13 22:00:24,,E1,E2,MQTT,turn_on_alert,motion detected,E2
actuator,,E2_light,turn_on,,2026-01-13 22:00:25,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-13 22:05:00,E2,,,,,,
sensor,E2_camera,,plate_captured,BBB201,2026-01-13 22:05:01,E2,,,,,,
actuator,,E2_light,dim,,2026-01-13 22:05:04,E2,,,,,,
interaction,,,,,2026-01-13 22:05:08,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-13 22:05:12,,E2,W1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-13 22:05:13,,E2,W1,MQTT,dim_alert,motion detected,W1
actuator,,W1_light,dim,,2026-01-13 22:05:16,W1,,,,,,
interaction,,,,,2026-01-13 22:05:20,,E2,E1,MQTT,dim_alert,motion detected,E1
actuator,,E1_light,dim,,2026-01-13 22:05:23,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-14 00:00:00,E1,,,,,,
sensor,E1_camera,,plate_captured,BBB202,2026-01-14 00:00:04,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-14 00:00:06,E1,,,,,,
interaction,,,,,2026-01-14 00:00:09,,E1,E2,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 00:00:13,,E1,W1,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 00:00:15,,E1,E2,MQTT,turn_on_alert,motion detected,E2
actuator,,E2_light,turn_on,,2026-01-14 00:00:19,E2,,,,,,
interaction,,,,,2026-01-14 00:00:20,,E1,W1,MQTT,turn_on_alert,motion detected,W1
actuator,,W1_light,turn_on,,2026-01-14 00:00:23,W1,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-14 00:05:00,E2,,,,,,
sensor,E2_camera,,plate_captured,BBB202,2026-01-14 00:05:03,E2,,,,,,
actuator,,E2_light,dim,,2026-01-14 00:05:04,E2,,,,,,
interaction,,,,,2026-01-14 00:05:05,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 00:05:08,,E2,W1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 00:05:11,,E2,E1,MQTT,dim_alert,motion detected,E1
actuator,,E1_light,dim,,2026-01-14 00:05:12,E1,,,,,,
interaction,,,,,2026-01-14 00:05:16,,E2,W1,MQTT,dim_alert,motion detected,W1
actuator,,W1_light,dim,,2026-01-14 00:05:17,W1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-14 02:00:00,E1,,,,,,
sensor,E1_camera,,plate_captured,BBB203,2026-01-14 02:00:03,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-14 02:00:07,E1,,,,,,
interaction,,,,,2026-01-14 02:00:08,,E1,E2,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 02:00:10,,E1,W1,MQTT,turn_on_alert,motion detected,E1
actuator,,W1_light,turn_on,,2026-01-14 02:00:16,W1,,,,,,
interaction,,,,,2026-01-14 02:00:20,,E1,E2,MQTT,turn_on_alert,motion detected,E2
actuator,,E2_light,turn_on,,2026-01-14 02:00:24,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-14 02:05:00,E2,,,,,,
sensor,E2_camera,,plate_captured,BBB203,2026-01-14 02:05:03,E2,,,,,,
actuator,,E2_light,dim,,2026-01-14 02:05:07,E2,,,,,,
interaction,,,,,2026-01-14 02:05:10,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 02:05:12,,E2,W1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 02:05:14,,E2,W1,MQTT,dim_alert,motion detected,W1
actuator,,W1_light,dim,,2026-01-14 02:05:16,W1,,,,,,
actuator,,E1_light,dim,,2026-01-14 02:05:21,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-14 04:00:00,E1,,,,,,
sensor,E1_camera,,plate_captured,BBB204,2026-01-14 04:00:01,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-14 04:00:03,E1,,,,,,
interaction,,,,,2026-01-14 04:00:05,,E1,E2,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 04:00:11,,E1,E2,MQTT,turn_on_alert,motion detected,E2
interaction,,,,,2026-01-14 04:00:17,,E1,W1,MQTT,turn_on_alert,motion detected,W1
actuator,,W1_light,turn_on,,2026-01-14 04:00:21,W1,,,,,,
sensor,E2_camera,,plate_captured,BBB204,2026-01-14 04:05:01,E2,,,,,,
actuator,,E2_light,dim,,2026-01-14 04:05:03,E2,,,,,,
interaction,,,,,2026-01-14 04:05:07,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 04:05:09,,E2,W1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 04:05:10,,E2,E1,MQTT,dim_alert,motion detected,E1
interaction,,,,,2026-01-14 04:05:15,,E2,W1,MQTT,dim_alert,motion detected,W1
actuator,,W1_light,dim,,2026-01-14 04:05:16,W1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-14 06:00:00,E1,,,,,,
sensor,E1_camera,,plate_captured,BBB205,2026-01-14 06:00:01,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-14 06:00:04,E1,,,,,,
interaction,,,,,2026-01-14 06:00:12,,E1,W1,MQTT,turn_on_alert,motion detected,W1
actuator,,W1_light,turn_on,,2026-01-14 06:00:13,W1,,,,,,
interaction,,,,,2026-01-14 06:00:14,,E1,E2,MQTT,turn_on_alert,motion detected,E2
actuator,,E2_light,turn_on,,2026-01-14 06:00:16,E2,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-14 06:05:00,E2,,,,,,
sensor,E2_camera,,plate_captured,BBB205,2026-01-14 06:05:03,E2,,,,,,
actuator,,E2_light,dim,,2026-01-14 06:05:04,E2,,,,,,
interaction,,,,,2026-01-14 06:05:05,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 06:05:08,,E2,W1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 06:05:11,,E2,W1,MQTT,dim_alert,motion detected,W1
actuator,,W1_light,dim,,2026-01-14 06:05:13,W1,,,,,,
interaction,,,,,2026-01-14 06:05:15,,E2,E1,MQTT,dim_alert,motion detected,E1
actuator,,E1_light,dim,,2026-01-14 06:05:18,E1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-14 08:00:00,E1,,,,,,
sensor,E1_camera,,plate_captured,BBB206,2026-01-14 08:00:01,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-14 08:00:05,E1,,,,,,
interaction,,,,,2026-01-14 08:00:10,,E1,W1,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 08:00:14,,E1,E2,MQTT,turn_on_alert,motion detected,E2
actuator,,E2_light,turn_on,,2026-01-14 08:00:15,E2,,,,,,
actuator,,W1_light,turn_on,,2026-01-14 08:00:21,W1,,,,,,
sensor,E2_motion,,motion_detected,1,2026-01-14 08:05:00,E2,,,,,,
sensor,E2_camera,,plate_captured,BBB206,2026-01-14 08:05:02,E2,,,,,,
actuator,,E2_light,dim,,2026-01-14 08:05:05,E2,,,,,,
interaction,,,,,2026-01-14 08:05:07,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 08:05:08,,E2,W1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 08:05:12,,E2,E1,MQTT,dim_alert,motion detected,E1
actuator,,E1_light,dim,,2026-01-14 08:05:16,E1,,,,,,
interaction,,,,,2026-01-14 08:05:17,,E2,W1,MQTT,dim_alert,motion detected,W1
actuator,,W1_light,dim,,2026-01-14 08:05:20,W1,,,,,,
sensor,E1_motion,,motion_detected,1,2026-01-14 10:00:00,E1,,,,,,
sensor,E1_camera,,plate_captured,BBB207,2026-01-14 10:00:04,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-14 10:00:06,E1,,,,,,
interaction,,,,,2026-01-14 10:00:08,,E1,E2,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 10:00:10,,E1,W1,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 10:00:14,,E1,W1,MQTT,turn_on_alert,motion detected,W1
actuator,,W1_light,turn_on,,2026-01-14 10:00:17,W1,,,,,,
interaction,,,,,2026-01-14 10:00:20,,E1,E2,MQTT,turn_on_alert,motion detected,E2
sensor,E2_motion,,motion_detected,1,2026-01-14 10:05:00,E2,,,,,,
sensor,E2_camera,,plate_captured,BBB207,2026-01-14 10:05:01,E2,,,,,,
actuator,,E2_light,dim,,2026-01-14 10:05:05,E2,,,,,,
interaction,,,,,2026-01-14 10:05:08,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 10:05:10,,E2,W1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 10:05:14,,E2,W1,MQTT,dim_alert,motion detected,W1
actuator,,W1_light,dim,,2026-01-14 10:05:16,W1,,,,,,
interaction,,,,,2026-01-14 10:05:17,,E2,E1,MQTT,dim_alert,motion detected,E1
sensor,E1_motion,,motion_detected,1,2026-01-14 12:00:00,E1,,,,,,
sensor,E1_camera,,plate_captured,BBB208,2026-01-14 12:00:02,E1,,,,,,
actuator,,E1_light,turn_on,,2026-01-14 12:00:04,E1,,,,,,
interaction,,,,,2026-01-14 12:00:05,,E1,E2,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 12:00:09,,E1,W1,MQTT,turn_on_alert,motion detected,E1
interaction,,,,,2026-01-14 12:00:11,,E1,E2,MQTT,turn_on_alert,motion detected,E2
actuator,,E2_light,turn_on,,2026-01-14 12:00:15,E2,,,,,,
interaction,,,,,2026-01-14 12:00:16,,E1,W1,MQTT,turn_on_alert,motion detected,W1
actuator,,W1_light,turn_on,,2026-01-14 12:00:18,W1,,,,,,
sensor,E2_camera,,plate_captured,BBB208,2026-01-14 12:05:01,E2,,,,,,
actuator,,E2_light,dim,,2026-01-14 12:05:05,E2,,,,,,
interaction,,,,,2026-01-14 12:05:09,,E2,E1,MQTT,dim_alert,motion detected,E2
interaction,,,,,2026-01-14 12:05:11,,E2,W1,MQTT,dim_alert,motion detected,E2
