val,d_s,m_i,a_s,a_i,s_post,c_s,device,a,sid,c,c_a,t,a_cmd,s_pre,id,d_p,type,c_i,d_t,d
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,312,,2026-01-14 08:00:11,,,,W1,interaction,312,W1,
,,,,,ON,,W1,turn_on,,312,312,2026-01-14 08:00:15,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,313,,2026-01-14 08:05:11,,,,W1,interaction,313,W1,
,,,,,dimmed,,W1,dim,,313,313,2026-01-14 08:05:12,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,314,,2026-01-14 10:00:11,,,,W1,interaction,314,W1,
,,,,,ON,,W1,turn_on,,314,314,2026-01-14 10:00:15,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,315,,2026-01-14 10:05:13,,,,W1,interaction,315,W1,
,,,,,dimmed,,W1,dim,,315,315,2026-01-14 10:05:15,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,316,,2026-01-14 12:00:11,,,,W1,interaction,316,W1,
,,,,,ON,,W1,turn_on,,316,316,2026-01-14 12:00:12,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,317,,2026-01-14 12:05:22,,,,W1,interaction,317,W1,
,,,,,dimmed,,W1,dim,,317,317,2026-01-14 12:05:24,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,318,,2026-01-14 14:00:12,,,,W1,interaction,318,W1,
,,,,,ON,,W1,turn_on,,318,318,2026-01-14 14:00:13,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,319,,2026-01-14 14:05:17,,,,W1,interaction,319,W1,
,,,,,dimmed,,W1,dim,,319,319,2026-01-14 14:05:21,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,320,,2026-01-14 16:00:15,,,,W1,interaction,320,W1,
,,,,,ON,,W1,turn_on,,320,320,2026-01-14 16:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,321,,2026-01-14 16:05:19,,,,W1,interaction,321,W1,
,,,,,dimmed,,W1,dim,,321,321,2026-01-14 16:05:20,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,322,,2026-01-14 18:00:09,,,,W1,interaction,322,W1,
,,,,,ON,,W1,turn_on,,322,322,2026-01-14 18:00:12,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,323,,2026-01-14 18:05:17,,,,W1,interaction,323,W1,
,,,,,dimmed,,W1,dim,,323,323,2026-01-14 18:05:21,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,324,,2026-01-14 20:00:14,,,,W1,interaction,324,W1,
,,,,,ON,,W1,turn_on,,324,324,2026-01-14 20:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,325,,2026-01-14 20:05:21,,,,W1,interaction,325,W1,
,,,,,dimmed,,W1,dim,,325,325,2026-01-14 20:05:23,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,326,,2026-01-14 22:00:13,,,,W1,interaction,326,W1,
,,,,,ON,,W1,turn_on,,326,326,2026-01-14 22:00:14,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,327,,2026-01-14 22:05:18,,,,W1,interaction,327,W1,
,,,,,dimmed,,W1,dim,,327,327,2026-01-14 22:05:22,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,328,,2026-01-15 00:00:09,,,,W1,interaction,328,W1,
,,,,,ON,,W1,turn_on,,328,328,2026-01-15 00:00:12,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,329,,2026-01-15 00:05:20,,,,W1,interaction,329,W1,
,,,,,dimmed,,W1,dim,,329,329,2026-01-15 00:05:24,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,330,,2026-01-15 02:00:15,,,,W1,interaction,330,W1,
,,,,,ON,,W1,turn_on,,330,330,2026-01-15 02:00:19,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,331,,2026-01-15 02:05:17,,,,W1,interaction,331,W1,
,,,,,dimmed,,W1,dim,,331,331,2026-01-15 02:05:21,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,332,,2026-01-15 04:00:10,,,,W1,interaction,332,W1,
,,,,,ON,,W1,turn_on,,332,332,2026-01-15 04:00:13,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,333,,2026-01-15 04:05:16,,,,W1,interaction,333,W1,
,,,,,dimmed,,W1,dim,,333,333,2026-01-15 04:05:17,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,334,,2026-01-15 06:00:13,,,,W1,interaction,334,W1,
,,,,,ON,,W1,turn_on,,334,334,2026-01-15 06:00:14,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,335,,2026-01-15 06:05:20,,,,W1,interaction,335,W1,
,,,,,dimmed,,W1,dim,,335,335,2026-01-15 06:05:21,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,336,,2026-01-15 08:00:10,,,,W1,interaction,336,W1,
,,,,,ON,,W1,turn_on,,336,336,2026-01-15 08:00:11,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,337,,2026-01-15 08:05:21,,,,W1,interaction,337,W1,
,,,,,dimmed,,W1,dim,,337,337,2026-01-15 08:05:22,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,338,,2026-01-15 10:00:12,,,,W1,interaction,338,W1,
,,,,,ON,,W1,turn_on,,338,338,2026-01-15 10:00:15,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,339,,2026-01-15 10:05:18,,,,W1,interaction,339,W1,
,,,,,dimmed,,W1,dim,,339,339,2026-01-15 10:05:19,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,340,,2026-01-15 12:00:16,,,,W1,interaction,340,W1,
,,,,,ON,,W1,turn_on,,340,340,2026-01-15 12:00:19,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,341,,2026-01-15 12:05:14,,,,W1,interaction,341,W1,
,,,,,dimmed,,W1,dim,,341,341,2026-01-15 12:05:16,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,342,,2026-01-15 14:00:14,,,,W1,interaction,342,W1,
,,,,,ON,,W1,turn_on,,342,342,2026-01-15 14:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,343,,2026-01-15 14:05:11,,,,W1,interaction,343,W1,
,,,,,dimmed,,W1,dim,,343,343,2026-01-15 14:05:14,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,344,,2026-01-15 16:00:13,,,,W1,interaction,344,W1,
,,,,,ON,,W1,turn_on,,344,344,2026-01-15 16:00:14,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,345,,2026-01-15 16:05:11,,,,W1,interaction,345,W1,
,,,,,dimmed,,W1,dim,,345,345,2026-01-15 16:05:15,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,346,,2026-01-15 18:00:13,,,,W1,interaction,346,W1,
,,,,,ON,,W1,turn_on,,346,346,2026-01-15 18:00:15,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,347,,2026-01-15 18:05:22,,,,W1,interaction,347,W1,
,,,,,dimmed,,W1,dim,,347,347,2026-01-15 18:05:25,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,348,,2026-01-15 20:00:15,,,,W1,interaction,348,W1,
,,,,,ON,,W1,turn_on,,348,348,2026-01-15 20:00:18,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,349,,2026-01-15 20:05:24,,,,W1,interaction,349,W1,
,,,,,dimmed,,W1,dim,,349,349,2026-01-15 20:05:27,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,350,,2026-01-15 22:00:12,,,,W1,interaction,350,W1,
,,,,,ON,,W1,turn_on,,350,350,2026-01-15 22:00:16,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,351,,2026-01-15 22:05:15,,,,W1,interaction,351,W1,
,,,,,dimmed,,W1,dim,,351,351,2026-01-15 22:05:17,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,352,,2026-01-16 00:00:12,,,,W1,interaction,352,W1,
,,,,,ON,,W1,turn_on,,352,352,2026-01-16 00:00:16,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,353,,2026-01-16 00:05:14,,,,W1,interaction,353,W1,
,,,,,dimmed,,W1,dim,,353,353,2026-01-16 00:05:16,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,354,,2026-01-16 02:00:13,,,,W1,interaction,354,W1,
,,,,,ON,,W1,turn_on,,354,354,2026-01-16 02:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,355,,2026-01-16 02:05:22,,,,W1,interaction,355,W1,
,,,,,dimmed,,W1,dim,,355,355,2026-01-16 02:05:23,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,356,,2026-01-16 04:00:15,,,,W1,interaction,356,W1,
,,,,,ON,,W1,turn_on,,356,356,2026-01-16 04:00:16,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,357,,2026-01-16 04:05:18,,,,W1,interaction,357,W1,
,,,,,dimmed,,W1,dim,,357,357,2026-01-16 04:05:20,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,358,,2026-01-16 06:00:12,,,,W1,interaction,358,W1,
,,,,,ON,,W1,turn_on,,358,358,2026-01-16 06:00:14,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,359,,2026-01-16 06:05:20,,,,W1,interaction,359,W1,
,,,,,dimmed,,W1,dim,,359,359,2026-01-16 06:05:21,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,360,,2026-01-16 08:00:16,,,,W1,interaction,360,W1,
,,,,,ON,,W1,turn_on,,360,360,2026-01-16 08:00:20,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,361,,2026-01-16 08:05:18,,,,W1,interaction,361,W1,
,,,,,dimmed,,W1,dim,,361,361,2026-01-16 08:05:21,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,362,,2026-01-16 10:00:12,,,,W1,interaction,362,W1,
,,,,,ON,,W1,turn_on,,362,362,2026-01-16 10:00:13,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,363,,2026-01-16 10:05:18,,,,W1,interaction,363,W1,
,,,,,dimmed,,W1,dim,,363,363,2026-01-16 10:05:20,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,364,,2026-01-16 12:00:13,,,,W1,interaction,364,W1,
,,,,,ON,,W1,turn_on,,364,364,2026-01-16 12:00:16,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,365,,2026-01-16 12:05:16,,,,W1,interaction,365,W1,
,,,,,dimmed,,W1,dim,,365,365,2026-01-16 12:05:20,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,366,,2026-01-16 14:00:14,,,,W1,interaction,366,W1,
,,,,,ON,,W1,turn_on,,366,366,2026-01-16 14:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,367,,2026-01-16 14:05:11,,,,W1,interaction,367,W1,
,,,,,dimmed,,W1,dim,,367,367,2026-01-16 14:05:12,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,368,,2026-01-16 16:00:14,,,,W1,interaction,368,W1,
,,,,,ON,,W1,turn_on,,368,368,2026-01-16 16:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,369,,2026-01-16 16:05:23,,,,W1,interaction,369,W1,
,,,,,dimmed,,W1,dim,,369,369,2026-01-16 16:05:26,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,370,,2026-01-16 18:00:08,,,,W1,interaction,370,W1,
,,,,,ON,,W1,turn_on,,370,370,2026-01-16 18:00:10,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,371,,2026-01-16 18:05:14,,,,W1,interaction,371,W1,
,,,,,dimmed,,W1,dim,,371,371,2026-01-16 18:05:15,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,372,,2026-01-16 20:00:10,,,,W1,interaction,372,W1,
,,,,,ON,,W1,turn_on,,372,372,2026-01-16 20:00:14,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,373,,2026-01-16 20:05:23,,,,W1,interaction,373,W1,
,,,,,dimmed,,W1,dim,,373,373,2026-01-16 20:05:27,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,374,,2026-01-16 22:00:16,,,,W1,interaction,374,W1,
,,,,,ON,,W1,turn_on,,374,374,2026-01-16 22:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,375,,2026-01-16 22:05:18,,,,W1,interaction,375,W1,
,,,,,dimmed,,W1,dim,,375,375,2026-01-16 22:05:19,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,376,,2026-01-17 00:00:15,,,,W1,interaction,376,W1,
,,,,,ON,,W1,turn_on,,376,376,2026-01-17 00:00:18,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,377,,2026-01-17 00:05:16,,,,W1,interaction,377,W1,
,,,,,dimmed,,W1,dim,,377,377,2026-01-17 00:05:19,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,378,,2026-01-17 02:00:16,,,,W1,interaction,378,W1,
,,,,,ON,,W1,turn_on,,378,378,2026-01-17 02:00:19,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,379,,2026-01-17 02:05:15,,,,W1,interaction,379,W1,
,,,,,dimmed,,W1,dim,,379,379,2026-01-17 02:05:16,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,380,,2026-01-17 04:00:15,,,,W1,interaction,380,W1,
,,,,,ON,,W1,turn_on,,380,380,2026-01-17 04:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,381,,2026-01-17 04:05:20,,,,W1,interaction,381,W1,
,,,,,dimmed,,W1,dim,,381,381,2026-01-17 04:05:22,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,382,,2026-01-17 06:00:11,,,,W1,interaction,382,W1,
,,,,,ON,,W1,turn_on,,382,382,2026-01-17 06:00:15,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,383,,2026-01-17 06:05:23,,,,W1,interaction,383,W1,
,,,,,dimmed,,W1,dim,,383,383,2026-01-17 06:05:25,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,384,,2026-01-17 08:00:10,,,,W1,interaction,384,W1,
,,,,,ON,,W1,turn_on,,384,384,2026-01-17 08:00:11,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,385,,2026-01-17 08:05:19,,,,W1,interaction,385,W1,
,,,,,dimmed,,W1,dim,,385,385,2026-01-17 08:05:21,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,386,,2026-01-17 10:00:16,,,,W1,interaction,386,W1,
,,,,,ON,,W1,turn_on,,386,386,2026-01-17 10:00:17,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,387,,2026-01-17 10:05:17,,,,W1,interaction,387,W1,
,,,,,dimmed,,W1,dim,,387,387,2026-01-17 10:05:19,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,388,,2026-01-17 12:00:12,,,,W1,interaction,388,W1,
,,,,,ON,,W1,turn_on,,388,388,2026-01-17 12:00:16,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,389,,2026-01-17 12:05:16,,,,W1,interaction,389,W1,
,,,,,dimmed,,W1,dim,,389,389,2026-01-17 12:05:19,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,390,,2026-01-17 14:00:08,,,,W1,interaction,390,W1,
,,,,,ON,,W1,turn_on,,390,390,2026-01-17 14:00:11,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,391,,2026-01-17 14:05:14,,,,W1,interaction,391,W1,
,,,,,dimmed,,W1,dim,,391,391,2026-01-17 14:05:16,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,392,,2026-01-17 16:00:07,,,,W1,interaction,392,W1,
,,,,,ON,,W1,turn_on,,392,392,2026-01-17 16:00:11,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,393,,2026-01-17 16:05:14,,,,W1,interaction,393,W1,
,,,,,dimmed,,W1,dim,,393,393,2026-01-17 16:05:17,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,394,,2026-01-17 18:00:12,,,,W1,interaction,394,W1,
,,,,,ON,,W1,turn_on,,394,394,2026-01-17 18:00:15,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,395,,2026-01-17 18:05:20,,,,W1,interaction,395,W1,
,,,,,dimmed,,W1,dim,,395,395,2026-01-17 18:05:24,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,396,,2026-01-17 20:00:09,,,,W1,interaction,396,W1,
,,,,,ON,,W1,turn_on,,396,396,2026-01-17 20:00:12,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,397,,2026-01-17 20:05:16,,,,W1,interaction,397,W1,
,,,,,dimmed,,W1,dim,,397,397,2026-01-17 20:05:20,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,398,,2026-01-17 22:00:09,,,,W1,interaction,398,W1,
,,,,,ON,,W1,turn_on,,398,398,2026-01-17 22:00:10,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,399,,2026-01-17 22:05:16,,,,W1,interaction,399,W1,
,,,,,dimmed,,W1,dim,,399,399,2026-01-17 22:05:20,dim,ON,W1_light,,actuator,,,W1
,E1,motion detected,,E1_turn_on_alert_W1,,,W1,E1_turn_on_alert_W1,,400,,2026-01-18 00:00:09,,,,W1,interaction,400,W1,
,,,,,ON,,W1,turn_on,,400,400,2026-01-18 00:00:11,turn_on,dimmed,W1_light,,actuator,,,W1
,E2,motion detected,,E2_dim_alert_W1,,,W1,E2_dim_alert_W1,,401,,2026-01-18 00:05:13,,,,W1,interaction,401,W1,
,,,,,dimmed,,W1,dim,,401,401,2026-01-18 00:05:15,dim,ON,W1_light,,actuator,,,W1
