val,d_s,m_i,a_s,a_i,s_post,c_s,device,a,sid,c,c_a,t,a_cmd,s_pre,id,d_p,type,c_i,d_t,d
AAA116,,,plate_captured,,,16,E1,plate_captured,E1_camera,16,,2026-01-13 18:07:52,,,,,sensor,,,E1
1,,,motion_detected,,,17,E1,motion_detected,E1_motion,17,,2026-01-13 18:08:18,,,,,sensor,,,E1
AAA117,,,plate_captured,,,17,E1,plate_captured,E1_camera,17,,2026-01-13 18:08:21,,,,,sensor,,,E1
1,,,motion_detected,,,18,E1,motion_detected,E1_motion,18,,2026-01-13 18:08:48,,,,,sensor,,,E1
AAA118,,,plate_captured,,,18,E1,plate_captured,E1_camera,18,,2026-01-13 18:08:49,,,,,sensor,,,E1
1,,,motion_detected,,,19,E1,motion_detected,E1_motion,19,,2026-01-13 18:09:18,,,,,sensor,,,E1
AAA119,,,plate_captured,,,19,E1,plate_captured,E1_camera,19,,2026-01-13 18:09:21,,,,,sensor,,,E1
1,,,motion_detected,,,20,E1,motion_detected,E1_motion,20,,2026-01-13 18:09:48,,,,,sensor,,,E1
AAA120,,,plate_captured,,,20,E1,plate_captured,E1_camera,20,,2026-01-13 18:09:51,,,,,sensor,,,E1
1,,,motion_detected,,,21,E1,motion_detected,E1_motion,21,,2026-01-13 18:10:18,,,,,sensor,,,E1
AAA121,,,plate_captured,,,21,E1,plate_captured,E1_camera,21,,2026-01-13 18:10:21,,,,,sensor,,,E1
1,,,motion_detected,,,22,E1,motion_detected,E1_motion,22,,2026-01-13 18:10:48,,,,,sensor,,,E1
AAA122,,,plate_captured,,,22,E1,plate_captured,E1_camera,22,,2026-01-13 18:10:51,,,,,sensor,,,E1
1,,,motion_detected,,,23,E1,motion_detected,E1_motion,23,,2026-01-13 18:11:18,,,,,sensor,,,E1
AAA123,,,plate_captured,,,23,E1,plate_captured,E1_camera,23,,2026-01-13 18:11:22,,,,,sensor,,,E1
1,,,motion_detected,,,24,E1,motion_detected,E1_motion,24,,2026-01-13 18:11:48,,,,,sensor,,,E1
AAA124,,,plate_captured,,,24,E1,plate_captured,E1_camera,24,,2026-01-13 18:11:51,,,,,sensor,,,E1
1,,,motion_detected,,,25,E1,motion_detected,E1_motion,25,,2026-01-13 18:12:18,,,,,sensor,,,E1
AAA125,,,plate_captured,,,25,E1,plate_captured,E1_camera,25,,2026-01-13 18:12:22,,,,,sensor,,,E1
1,,,motion_detected,,,26,E1,motion_detected,E1_motion,26,,2026-01-13 18:12:48,,,,,sensor,,,E1
AAA126,,,plate_captured,,,26,E1,plate_captured,E1_camera,26,,2026-01-13 18:12:50,,,,,sensor,,,E1
1,,,motion_detected,,,27,E1,motion_detected,E1_motion,27,,2026-01-13 18:13:18,,,,,sensor,,,E1
AAA127,,,plate_captured,,,27,E1,plate_captured,E1_camera,27,,2026-01-13 18:13:19,,,,,sensor,,,E1
1,,,motion_detected,,,28,E1,motion_detected,E1_motion,28,,2026-01-13 18:13:48,,,,,sensor,,,E1
AAA128,,,plate_captured,,,28,E1,plate_captured,E1_camera,28,,2026-01-13 18:13:49,,,,,sensor,,,E1
1,,,motion_detected,,,29,E1,motion_detected,E1_motion,29,,2026-01-13 18:14:18,,,,,sensor,,,E1
AAA129,,,plate_captured,,,29,E1,plate_captured,E1_camera,29,,2026-01-13 18:14:19,,,,,sensor,,,E1
1,,,motion_detected,,,30,E1,motion_detected,E1_motion,30,,2026-01-13 18:14:48,,,,,sensor,,,E1
AAA130,,,plate_captured,,,30,E1,plate_captured,E1_camera,30,,2026-01-13 18:14:51,,,,,sensor,,,E1
1,,,motion_detected,,,31,E1,motion_detected,E1_motion,31,,2026-01-13 18:15:18,,,,,sensor,,,E1
AAA131,,,plate_captured,,,31,E1,plate_captured,E1_camera,31,,2026-01-13 18:15:20,,,,,sensor,,,E1
1,,,motion_detected,,,32,E1,motion_detected,E1_motion,32,,2026-01-13 18:15:48,,,,,sensor,,,E1
AAA132,,,plate_captured,,,32,E1,plate_captured,E1_camera,32,,2026-01-13 18:15:50,,,,,sensor,,,E1
1,,,motion_detected,,,33,E1,motion_detected,E1_motion,33,,2026-01-13 18:16:18,,,,,sensor,,,E1
AAA133,,,plate_captured,,,33,E1,plate_captured,E1_camera,33,,2026-01-13 18:16:20,,,,,sensor,,,E1
1,,,motion_detected,,,34,E1,motion_detected,E1_motion,34,,2026-01-13 18:16:48,,,,,sensor,,,E1
AAA134,,,plate_captured,,,34,E1,plate_captured,E1_camera,34,,2026-01-13 18:16:49,,,,,sensor,,,E1
1,,,motion_detected,,,35,E1,motion_detected,E1_motion,35,,2026-01-13 18:17:18,,,,,sensor,,,E1
AAA135,,,plate_captured,,,35,E1,plate_captured,E1_camera,35,,2026-01-13 18:17:21,,,,,sensor,,,E1
1,,,motion_detected,,,36,E1,motion_detected,E1_motion,36,,2026-01-13 18:17:48,,,,,sensor,,,E1
AAA136,,,plate_captured,,,36,E1,plate_captured,E1_camera,36,,2026-01-13 18:17:51,,,,,sensor,,,E1
1,,,motion_detected,,,37,E1,motion_detected,E1_motion,37,,2026-01-13 18:18:18,,,,,sensor,,,E1
AAA137,,,plate_captured,,,37,E1,plate_captured,E1_camera,37,,2026-01-13 18:18:21,,,,,sensor,,,E1
1,,,motion_detected,,,38,E1,motion_detected,E1_motion,38,,2026-01-13 18:18:48,,,,,sensor,,,E1
AAA138,,,plate_captured,,,38,E1,plate_captured,E1_camera,38,,2026-01-13 18:18:49,,,,,sensor,,,E1
1,,,motion_detected,,,39,E1,motion_detected,E1_motion,39,,2026-01-13 18:19:18,,,,,sensor,,,E1
AAA139,,,plate_captured,,,39,E1,plate_captured,E1_camera,39,,2026-01-13 18:19:22,,,,,sensor,,,E1
1,,,motion_detected,,,40,E1,motion_detected,E1_motion,40,,2026-01-13 18:19:48,,,,,sensor,,,E1
AAA140,,,plate_captured,,,40,E1,plate_captured,E1_camera,40,,2026-01-13 18:19:50,,,,,sensor,,,E1
1,,,motion_detected,,,41,E1,motion_detected,E1_motion,41,,2026-01-13 18:20:18,,,,,sensor,,,E1
AAA141,,,plate_captured,,,41,E1,plate_captured,E1_camera,41,,2026-01-13 18:20:20,,,,,sensor,,,E1
1,,,motion_detected,,,42,E1,motion_detected,E1_motion,42,,2026-01-13 18:20:48,,,,,sensor,,,E1
AAA142,,,plate_captured,,,42,E1,plate_captured,E1_camera,42,,2026-01-13 18:20:52,,,,,sensor,,,E1
1,,,motion_detected,,,43,E1,motion_detected,E1_motion,43,,2026-01-13 18:21:18,,,,,sensor,,,E1
AAA143,,,plate_captured,,,43,E1,plate_captured,E1_camera,43,,2026-01-13 18:21:22,,,,,sensor,,,E1
1,,,motion_detected,,,44,E1,motion_detected,E1_motion,44,,2026-01-13 18:21:48,,,,,sensor,,,E1
AAA144,,,plate_captured,,,44,E1,plate_captured,E1_camera,44,,2026-01-13 18:21:51,,,,,sensor,,,E1
1,,,motion_detected,,,45,E1,motion_detected,E1_motion,45,,2026-01-13 18:22:18,,,,,sensor,,,E1
AAA145,,,plate_captured,,,45,E1,plate_captured,E1_camera,45,,2026-01-13 18:22:19,,,,,sensor,,,E1
1,,,motion_detected,,,46,E1,motion_detected,E1_motion,46,,2026-01-13 18:22:48,,,,,sensor,,,E1
AAA146,,,plate_captured,,,46,E1,plate_captured,E1_camera,46,,2026-01-13 18:22:49,,,,,sensor,,,E1
1,,,motion_detected,,,47,E1,motion_detected,E1_motion,47,,2026-01-13 18:23:18,,,,,sensor,,,E1
AAA147,,,plate_captured,,,47,E1,plate_captured,E1_camera,47,,2026-01-13 18:23:20,,,,,sensor,,,E1
1,,,motion_detected,,,48,E1,motion_detected,E1_motion,48,,2026-01-13 18:23:48,,,,,sensor,,,E1
AAA148,,,plate_captured,,,48,E1,plate_captured,E1_camera,48,,2026-01-13 18:23:52,,,,,sensor,,,E1
1,,,motion_detected,,,49,E1,motion_detected,E1_motion,49,,2026-01-13 18:24:18,,,,,sensor,,,E1
AAA149,,,plate_captured,,,49,E1,plate_captured,E1_camera,49,,2026-01-13 18:24:20,,,,,sensor,,,E1
1,,,motion_detected,,,50,E1,motion_detected,E1_motion,50,,2026-01-13 18:24:48,,,,,sensor,,,E1
AAA150,,,plate_captured,,,50,E1,plate_captured,E1_camera,50,,2026-01-13 18:24:50,,,,,sensor,,,E1
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,51,,2026-01-13 18:54:32,,,,E1,interaction,51,E1,
,,,,,dimmed,,E1,dim,,51,51,2026-01-13 18:54:34,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,52,E1,motion_detected,E1_motion,52,,2026-01-13 22:00:00,,,,,sensor,,,E1
BBB201,,,plate_captured,,,52,E1,plate_captured,E1_camera,52,,2026-01-13 22:00:04,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,52,52,2026-01-13 22:00:07,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,52,,2026-01-13 22:00:10,,,,E1,interaction,52,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,52,,2026-01-13 22:00:13,,,,E1,interaction,52,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,53,,2026-01-13 22:05:16,,,,E1,interaction,53,E1,
,,,,,dimmed,,E1,dim,,53,53,2026-01-13 22:05:19,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,54,E1,motion_detected,E1_motion,54,,2026-01-14 00:00:00,,,,,sensor,,,E1
BBB202,,,plate_captured,,,54,E1,plate_captured,E1_camera,54,,2026-01-14 00:00:04,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,54,54,2026-01-14 00:00:05,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,54,,2026-01-14 00:00:06,,,,E1,interaction,54,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,54,,2026-01-14 00:00:07,,,,E1,interaction,54,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,55,,2026-01-14 00:05:09,,,,E1,interaction,55,E1,
,,,,,dimmed,,E1,dim,,55,55,2026-01-14 00:05:13,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,56,E1,motion_detected,E1_motion,56,,2026-01-14 02:00:00,,,,,sensor,,,E1
BBB203,,,plate_captured,,,56,E1,plate_captured,E1_camera,56,,2026-01-14 02:00:02,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,56,56,2026-01-14 02:00:06,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,56,,2026-01-14 02:00:10,,,,E1,interaction,56,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,56,,2026-01-14 02:00:14,,,,E1,interaction,56,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,57,,2026-01-14 02:05:13,,,,E1,interaction,57,E1,
,,,,,dimmed,,E1,dim,,57,57,2026-01-14 02:05:14,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,58,E1,motion_detected,E1_motion,58,,2026-01-14 04:00:00,,,,,sensor,,,E1
BBB204,,,plate_captured,,,58,E1,plate_captured,E1_camera,58,,2026-01-14 04:00:03,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,58,58,2026-01-14 04:00:07,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,58,,2026-01-14 04:00:08,,,,E1,interaction,58,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,58,,2026-01-14 04:00:10,,,,E1,interaction,58,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,59,,2026-01-14 04:05:15,,,,E1,interaction,59,E1,
,,,,,dimmed,,E1,dim,,59,59,2026-01-14 04:05:16,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,60,E1,motion_detected,E1_motion,60,,2026-01-14 06:00:00,,,,,sensor,,,E1
BBB205,,,plate_captured,,,60,E1,plate_captured,E1_camera,60,,2026-01-14 06:00:02,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,60,60,2026-01-14 06:00:03,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,60,,2026-01-14 06:00:06,,,,E1,interaction,60,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,60,,2026-01-14 06:00:09,,,,E1,interaction,60,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,61,,2026-01-14 06:05:13,,,,E1,interaction,61,E1,
,,,,,dimmed,,E1,dim,,61,61,2026-01-14 06:05:15,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,62,E1,motion_detected,E1_motion,62,,2026-01-14 08:00:00,,,,,sensor,,,E1
BBB206,,,plate_captured,,,62,E1,plate_captured,E1_camera,62,,2026-01-14 08:00:03,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,62,62,2026-01-14 08:00:06,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,62,,2026-01-14 08:00:09,,,,E1,interaction,62,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,62,,2026-01-14 08:00:10,,,,E1,interaction,62,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,63,,2026-01-14 08:05:08,,,,E1,interaction,63,E1,
,,,,,dimmed,,E1,dim,,63,63,2026-01-14 08:05:10,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,64,E1,motion_detected,E1_motion,64,,2026-01-14 10:00:00,,,,,sensor,,,E1
BBB207,,,plate_captured,,,64,E1,plate_captured,E1_camera,64,,2026-01-14 10:00:02,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,64,64,2026-01-14 10:00:03,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,64,,2026-01-14 10:00:06,,,,E1,interaction,64,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,64,,2026-01-14 10:00:09,,,,E1,interaction,64,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,65,,2026-01-14 10:05:07,,,,E1,interaction,65,E1,
,,,,,dimmed,,E1,dim,,65,65,2026-01-14 10:05:09,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,66,E1,motion_detected,E1_motion,66,,2026-01-14 12:00:00,,,,,sensor,,,E1
BBB208,,,plate_captured,,,66,E1,plate_captured,E1_camera,66,,2026-01-14 12:00:03,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,66,66,2026-01-14 12:00:05,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,66,,2026-01-14 12:00:07,,,,E1,interaction,66,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,66,,2026-01-14 12:00:09,,,,E1,interaction,66,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,67,,2026-01-14 12:05:16,,,,E1,interaction,67,E1,
,,,,,dimmed,,E1,dim,,67,67,2026-01-14 12:05:19,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,68,E1,motion_detected,E1_motion,68,,2026-01-14 14:00:00,,,,,sensor,,,E1
BBB209,,,plate_captured,,,68,E1,plate_captured,E1_camera,68,,2026-01-14 14:00:03,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,68,68,2026-01-14 14:00:04,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,68,,2026-01-14 14:00:06,,,,E1,interaction,68,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,68,,2026-01-14 14:00:10,,,,E1,interaction,68,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,69,,2026-01-14 14:05:13,,,,E1,interaction,69,E1,
,,,,,dimmed,,E1,dim,,69,69,2026-01-14 14:05:16,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,70,E1,motion_detected,E1_motion,70,,2026-01-14 16:00:00,,,,,sensor,,,E1
BBB210,,,plate_captured,,,70,E1,plate_captured,E1_camera,70,,2026-01-14 16:00:04,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,70,70,2026-01-14 16:00:06,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,70,,2026-01-14 16:00:08,,,,E1,interaction,70,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,70,,2026-01-14 16:00:12,,,,E1,interaction,70,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,71,,2026-01-14 16:05:11,,,,E1,interaction,71,E1,
,,,,,dimmed,,E1,dim,,71,71,2026-01-14 16:05:15,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,72,E1,motion_detected,E1_motion,72,,2026-01-14 18:00:00,,,,,sensor,,,E1
BBB211,,,plate_captured,,,72,E1,plate_captured,E1_camera,72,,2026-01-14 18:00:01,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,72,72,2026-01-14 18:00:02,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,72,,2026-01-14 18:00:03,,,,E1,interaction,72,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,72,,2026-01-14 18:00:05,,,,E1,interaction,72,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,73,,2026-01-14 18:05:12,,,,E1,interaction,73,E1,
,,,,,dimmed,,E1,dim,,73,73,2026-01-14 18:05:16,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,74,E1,motion_detected,E1_motion,74,,2026-01-14 20:00:00,,,,,sensor,,,E1
BBB212,,,plate_captured,,,74,E1,plate_captured,E1_camera,74,,2026-01-14 20:00:02,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,74,74,2026-01-14 20:00:03,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,74,,2026-01-14 20:00:07,,,,E1,interaction,74,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,74,,2026-01-14 20:00:10,,,,E1,interaction,74,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,75,,2026-01-14 20:05:15,,,,E1,interaction,75,E1,
,,,,,dimmed,,E1,dim,,75,75,2026-01-14 20:05:17,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,76,E1,motion_detected,E1_motion,76,,2026-01-14 22:00:00,,,,,sensor,,,E1
BBB213,,,plate_captured,,,76,E1,plate_captured,E1_camera,76,,2026-01-14 22:00:02,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,76,76,2026-01-14 22:00:05,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,76,,2026-01-14 22:00:07,,,,E1,interaction,76,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,76,,2026-01-14 22:00:09,,,,E1,interaction,76,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,77,,2026-01-14 22:05:14,,,,E1,interaction,77,E1,
,,,,,dimmed,,E1,dim,,77,77,2026-01-14 22:05:16,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,78,E1,motion_detected,E1_motion,78,,2026-01-15 00:00:00,,,,,sensor,,,E1
BBB214,,,plate_captured,,,78,E1,plate_captured,E1_camera,78,,2026-01-15 00:00:01,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,78,78,2026-01-15 00:00:04,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,78,,2026-01-15 00:00:05,,,,E1,interaction,78,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,78,,2026-01-15 00:00:08,,,,E1,interaction,78,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,79,,2026-01-15 00:05:12,,,,E1,interaction,79,E1,
,,,,,dimmed,,E1,dim,,79,79,2026-01-15 00:05:16,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,80,E1,motion_detected,E1_motion,80,,2026-01-15 02:00:00,,,,,sensor,,,E1
BBB215,,,plate_captured,,,80,E1,plate_captured,E1_camera,80,,2026-01-15 02:00:02,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,80,80,2026-01-15 02:00:03,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,80,,2026-01-15 02:00:07,,,,E1,interaction,80,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,80,,2026-01-15 02:00:11,,,,E1,interaction,80,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,81,,2026-01-15 02:05:12,,,,E1,interaction,81,E1,
,,,,,dimmed,,E1,dim,,81,81,2026-01-15 02:05:14,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,82,E1,motion_detected,E1_motion,82,,2026-01-15 04:00:00,,,,,sensor,,,E1
BBB216,,,plate_captured,,,82,E1,plate_captured,E1_camera,82,,2026-01-15 04:00:03,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,82,82,2026-01-15 04:00:05,turn_on,dimmed,E1_light,,actuator,,,E1
,E1,motion detected,,E1_turn_on_alert_W1,,,E1,E1_turn_on_alert_W1,,82,,2026-01-15 04:00:06,,,,E1,interaction,82,W1,
,E1,motion detected,,E1_turn_on_alert_E2,,,E1,E1_turn_on_alert_E2,,82,,2026-01-15 04:00:09,,,,E1,interaction,82,E2,
,E2,motion detected,,E2_dim_alert_E1,,,E1,E2_dim_alert_E1,,83,,2026-01-15 04:05:09,,,,E1,interaction,83,E1,
,,,,,dimmed,,E1,dim,,83,83,2026-01-15 04:05:12,dim,ON,E1_light,,actuator,,,E1
1,,,motion_detected,,,84,E1,motion_detected,E1_motion,84,,2026-01-15 06:00:00,,,,,sensor,,,E1
BBB217,,,plate_captured,,,84,E1,plate_captured,E1_camera,84,,2026-01-15 06:00:03,,,,,sensor,,,E1
,,,,,ON,,E1,turn_on,,84,84,2026-01-15 06:00:05,turn_on,dimmed,E1_light,,actuator,,,E1
