device,d_s,id,m_i,d_t,sid,s_pre,type,a_cmd,d,s_post,a,c_i,a_i,c_s,t,c_a,val,d_p,c,a_s
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,328,E2_dim_alert_W1,,2026-01-14 06:05:11,,,W1,328,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 06:05:13,328,,,328,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 08:00:21,329,,,329,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,330,E2_dim_alert_W1,,2026-01-14 08:05:17,,,W1,330,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 08:05:20,330,,,330,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,331,E1_turn_on_alert_W1,,2026-01-14 10:00:14,,,W1,331,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 10:00:17,331,,,331,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,332,E2_dim_alert_W1,,2026-01-14 10:05:14,,,W1,332,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 10:05:16,332,,,332,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,333,E1_turn_on_alert_W1,,2026-01-14 12:00:16,,,W1,333,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 12:00:18,333,,,333,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,334,E2_dim_alert_W1,,2026-01-14 12:05:19,,,W1,334,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 12:05:23,334,,,334,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,335,E1_turn_on_alert_W1,,2026-01-14 14:00:12,,,W1,335,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,336,E2_dim_alert_W1,,2026-01-14 14:05:08,,,W1,336,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 14:05:12,336,,,336,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,337,E1_turn_on_alert_W1,,2026-01-14 16:00:19,,,W1,337,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 16:00:20,337,,,337,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,338,E2_dim_alert_W1,,2026-01-14 16:05:22,,,W1,338,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 16:05:25,338,,,338,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,339,E1_turn_on_alert_W1,,2026-01-14 18:00:10,,,W1,339,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 18:00:12,339,,,339,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,340,E2_dim_alert_W1,,2026-01-14 18:05:17,,,W1,340,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 18:05:18,340,,,340,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,341,E1_turn_on_alert_W1,,2026-01-14 20:00:12,,,W1,341,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 20:00:13,341,,,341,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,342,E2_dim_alert_W1,,2026-01-14 20:05:18,,,W1,342,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 20:05:21,342,,,342,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-14 22:00:19,343,,,343,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,344,E2_dim_alert_W1,,2026-01-14 22:05:07,,,W1,344,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-14 22:05:09,344,,,344,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,345,E1_turn_on_alert_W1,,2026-01-15 00:00:14,,,W1,345,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 00:00:15,345,,,345,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,346,E2_dim_alert_W1,,2026-01-15 00:05:16,,,W1,346,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 00:05:19,346,,,346,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,347,E1_turn_on_alert_W1,,2026-01-15 02:00:11,,,W1,347,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 02:00:12,347,,,347,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,348,E2_dim_alert_W1,,2026-01-15 02:05:17,,,W1,348,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 02:05:19,348,,,348,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,349,E1_turn_on_alert_W1,,2026-01-15 04:00:18,,,W1,349,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 04:00:19,349,,,349,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,350,E2_dim_alert_W1,,2026-01-15 04:05:12,,,W1,350,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 04:05:15,350,,,350,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,351,E1_turn_on_alert_W1,,2026-01-15 06:00:12,,,W1,351,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 06:00:14,351,,,351,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,352,E2_dim_alert_W1,,2026-01-15 06:05:15,,,W1,352,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 06:05:16,352,,,352,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,353,E1_turn_on_alert_W1,,2026-01-15 08:00:14,,,W1,353,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 08:00:15,353,,,353,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,354,E2_dim_alert_W1,,2026-01-15 08:05:15,,,W1,354,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 08:05:18,354,,,354,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,355,E1_turn_on_alert_W1,,2026-01-15 10:00:16,,,W1,355,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 10:00:17,355,,,355,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,356,E2_dim_alert_W1,,2026-01-15 10:05:13,,,W1,356,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 10:05:17,356,,,356,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,357,E1_turn_on_alert_W1,,2026-01-15 12:00:16,,,W1,357,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 12:00:20,357,,,357,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,358,E2_dim_alert_W1,,2026-01-15 12:05:23,,,W1,358,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 12:05:24,358,,,358,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,359,E1_turn_on_alert_W1,,2026-01-15 14:00:17,,,W1,359,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 14:00:18,359,,,359,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,360,E2_dim_alert_W1,,2026-01-15 14:05:14,,,W1,360,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 14:05:15,360,,,360,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 16:00:18,361,,,361,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,362,E2_dim_alert_W1,,2026-01-15 16:05:15,,,W1,362,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 16:05:19,362,,,362,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,363,E1_turn_on_alert_W1,,2026-01-15 18:00:13,,,W1,363,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 18:00:15,363,,,363,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,364,E2_dim_alert_W1,,2026-01-15 18:05:08,,,W1,364,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 18:05:11,364,,,364,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,365,E1_turn_on_alert_W1,,2026-01-15 20:00:15,,,W1,365,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 20:00:18,365,,,365,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,366,E2_dim_alert_W1,,2026-01-15 20:05:18,,,W1,366,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 20:05:21,366,,,366,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,367,E1_turn_on_alert_W1,,2026-01-15 22:00:17,,,W1,367,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-15 22:00:20,367,,,367,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,368,E2_dim_alert_W1,,2026-01-15 22:05:13,,,W1,368,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-15 22:05:16,368,,,368,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,369,E1_turn_on_alert_W1,,2026-01-16 00:00:19,,,W1,369,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 00:00:20,369,,,369,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,370,E2_dim_alert_W1,,2026-01-16 00:05:13,,,W1,370,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,371,E1_turn_on_alert_W1,,2026-01-16 02:00:12,,,W1,371,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 02:00:13,371,,,371,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,372,E2_dim_alert_W1,,2026-01-16 02:05:16,,,W1,372,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 02:05:17,372,,,372,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,373,E1_turn_on_alert_W1,,2026-01-16 04:00:16,,,W1,373,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 04:00:17,373,,,373,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,374,E2_dim_alert_W1,,2026-01-16 04:05:17,,,W1,374,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 04:05:18,374,,,374,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,375,E1_turn_on_alert_W1,,2026-01-16 06:00:11,,,W1,375,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 06:00:12,375,,,375,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,376,E2_dim_alert_W1,,2026-01-16 06:05:10,,,W1,376,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,377,E1_turn_on_alert_W1,,2026-01-16 08:00:22,,,W1,377,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 08:00:25,377,,,377,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,378,E2_dim_alert_W1,,2026-01-16 08:05:19,,,W1,378,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 08:05:22,378,,,378,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,379,E1_turn_on_alert_W1,,2026-01-16 10:00:15,,,W1,379,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 10:00:16,379,,,379,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,380,E2_dim_alert_W1,,2026-01-16 10:05:14,,,W1,380,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 10:05:16,380,,,380,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,381,E1_turn_on_alert_W1,,2026-01-16 12:00:13,,,W1,381,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 12:00:16,381,,,381,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,382,E2_dim_alert_W1,,2026-01-16 12:05:13,,,W1,382,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,383,E1_turn_on_alert_W1,,2026-01-16 14:00:10,,,W1,383,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 14:00:12,383,,,383,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 14:05:14,384,,,384,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,385,E2_dim_alert_W1,,2026-01-16 16:05:16,,,W1,385,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 16:05:18,385,,,385,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,386,E1_turn_on_alert_W1,,2026-01-16 18:00:10,,,W1,386,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 18:00:14,386,,,386,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,387,E2_dim_alert_W1,,2026-01-16 18:05:08,,,W1,387,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 18:05:12,387,,,387,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,388,E1_turn_on_alert_W1,,2026-01-16 20:00:15,,,W1,388,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 20:00:17,388,,,388,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,389,E2_dim_alert_W1,,2026-01-16 20:05:18,,,W1,389,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 20:05:21,389,,,389,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,390,E1_turn_on_alert_W1,,2026-01-16 22:00:10,,,W1,390,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-16 22:00:13,390,,,390,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,391,E2_dim_alert_W1,,2026-01-16 22:05:17,,,W1,391,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-16 22:05:21,391,,,391,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,392,E1_turn_on_alert_W1,,2026-01-17 00:00:13,,,W1,392,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,393,E2_dim_alert_W1,,2026-01-17 00:05:18,,,W1,393,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 00:05:20,393,,,393,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,394,E1_turn_on_alert_W1,,2026-01-17 02:00:10,,,W1,394,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 02:00:12,394,,,394,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,395,E2_dim_alert_W1,,2026-01-17 02:05:14,,,W1,395,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 02:05:15,395,,,395,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,396,E1_turn_on_alert_W1,,2026-01-17 04:00:18,,,W1,396,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 04:00:19,396,,,396,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,397,E2_dim_alert_W1,,2026-01-17 04:05:20,,,W1,397,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 04:05:24,397,,,397,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,398,E1_turn_on_alert_W1,,2026-01-17 06:00:13,,,W1,398,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 06:00:15,398,,,398,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,399,E2_dim_alert_W1,,2026-01-17 06:05:16,,,W1,399,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 06:05:20,399,,,399,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,400,E1_turn_on_alert_W1,,2026-01-17 08:00:18,,,W1,400,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 08:00:21,400,,,400,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,401,E2_dim_alert_W1,,2026-01-17 08:05:20,,,W1,401,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 08:05:24,401,,,401,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,402,E1_turn_on_alert_W1,,2026-01-17 10:00:13,,,W1,402,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 10:00:17,402,,,402,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,403,E2_dim_alert_W1,,2026-01-17 10:05:13,,,W1,403,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 10:05:16,403,,,403,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,404,E1_turn_on_alert_W1,,2026-01-17 12:00:18,,,W1,404,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 12:00:19,404,,,404,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,405,E2_dim_alert_W1,,2026-01-17 12:05:16,,,W1,405,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 12:05:19,405,,,405,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,406,E1_turn_on_alert_W1,,2026-01-17 14:00:13,,,W1,406,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 14:00:17,406,,,406,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,407,E2_dim_alert_W1,,2026-01-17 14:05:13,,,W1,407,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 14:05:16,407,,,407,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 16:00:16,408,,,408,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,409,E2_dim_alert_W1,,2026-01-17 16:05:15,,,W1,409,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 16:05:19,409,,,409,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,410,E1_turn_on_alert_W1,,2026-01-17 18:00:09,,,W1,410,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 18:00:13,410,,,410,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,411,E2_dim_alert_W1,,2026-01-17 18:05:12,,,W1,411,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 18:05:15,411,,,411,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,412,E1_turn_on_alert_W1,,2026-01-17 20:00:14,,,W1,412,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 20:00:17,412,,,412,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,413,E2_dim_alert_W1,,2026-01-17 20:05:19,,,W1,413,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 20:05:20,413,,,413,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,414,E1_turn_on_alert_W1,,2026-01-17 22:00:12,,,W1,414,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-17 22:00:15,414,,,414,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,415,E2_dim_alert_W1,,2026-01-17 22:05:17,,,W1,415,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-17 22:05:19,415,,,415,
W1,E1,,motion detected,W1,,,interaction,,,,E1_turn_on_alert_W1,416,E1_turn_on_alert_W1,,2026-01-18 00:00:18,,,W1,416,
W1,,W1_light,,,,dimmed,actuator,turn_on,W1,ON,turn_on,,,,2026-01-18 00:00:20,416,,,416,
W1,E2,,motion detected,W1,,,interaction,,,,E2_dim_alert_W1,417,E2_dim_alert_W1,,2026-01-18 00:05:22,,,W1,417,
W1,,W1_light,,,,ON,actuator,dim,W1,dimmed,dim,,,,2026-01-18 00:05:24,417,,,417,
