c_i,a_i,t,m_i,d_s,d_t,d_p
405,E2_dim_alert_W1,2026-01-17 12:05:16,motion detected,E2,W1,W1
406,E1_turn_on_alert_W1,2026-01-17 14:00:13,motion detected,E1,W1,W1
407,E2_dim_alert_W1,2026-01-17 14:05:13,motion detected,E2,W1,W1
409,E2_dim_alert_W1,2026-01-17 16:05:15,motion detected,E2,W1,W1
410,E1_turn_on_alert_W1,2026-01-17 18:00:09,motion detected,E1,W1,W1
411,E2_dim_alert_W1,2026-01-17 18:05:12,motion detected,E2,W1,W1
412,E1_turn_on_alert_W1,2026-01-17 20:00:14,motion detected,E1,W1,W1
413,E2_dim_alert_W1,2026-01-17 20:05:19,motion detected,E2,W1,W1
414,E1_turn_on_alert_W1,2026-01-17 22:00:12,motion detected,E1,W1,W1
415,E2_dim_alert_W1,2026-01-17 22:05:17,motion detected,E2,W1,W1
416,E1_turn_on_alert_W1,2026-01-18 00:00:18,motion detected,E1,W1,W1
417,E2_dim_alert_W1,2026-01-18 00:05:22,motion detected,E2,W1,W1
