c_a,a_cmd,t,s_pre,s_post,d,id
396,turn_on,2026-01-17 04:00:19,dimmed,ON,W1,W1_light
397,dim,2026-01-17 04:05:24,ON,dimmed,W1,W1_light
398,turn_on,2026-01-17 06:00:15,dimmed,ON,W1,W1_light
399,dim,2026-01-17 06:05:20,ON,dimmed,W1,W1_light
400,turn_on,2026-01-17 08:00:21,dimmed,ON,W1,W1_light
401,dim,2026-01-17 08:05:24,ON,dimmed,W1,W1_light
402,turn_on,2026-01-17 10:00:17,dimmed,ON,W1,W1_light
403,dim,2026-01-17 10:05:16,ON,dimmed,W1,W1_light
404,turn_on,2026-01-17 12:00:19,dimmed,ON,W1,W1_light
405,dim,2026-01-17 12:05:19,ON,dimmed,W1,W1_light
406,turn_on,2026-01-17 14:00:17,dimmed,ON,W1,W1_light
407,dim,2026-01-17 14:05:16,ON,dimmed,W1,W1_light
408,turn_on,2026-01-17 16:00:16,dimmed,ON,W1,W1_light
409,dim,2026-01-17 16:05:19,ON,dimmed,W1,W1_light
410,turn_on,2026-01-17 18:00:13,dimmed,ON,W1,W1_light
411,dim,2026-01-17 18:05:15,ON,dimmed,W1,W1_light
412,turn_on,2026-01-17 20:00:17,dimmed,ON,W1,W1_light
413,dim,2026-01-17 20:05:20,ON,dimmed,W1,W1_light
414,turn_on,2026-01-17 22:00:15,dimmed,ON,W1,W1_light
415,dim,2026-01-17 22:05:19,ON,dimmed,W1,W1_light
416,turn_on,2026-01-18 00:00:20,dimmed,ON,W1,W1_light
417,dim,2026-01-18 00:05:24,ON,dimmed,W1,W1_light
