c_i,a_i,t,m_i,d_s,d_t,d_p
335,E2_dim_alert_W1,2026-01-15 06:05:20,motion detected,E2,W1,W1
336,E1_turn_on_alert_W1,2026-01-15 08:00:10,motion detected,E1,W1,W1
337,E2_dim_alert_W1,2026-01-15 08:05:21,motion detected,E2,W1,W1
338,E1_turn_on_alert_W1,2026-01-15 10:00:12,motion detected,E1,W1,W1
339,E2_dim_alert_W1,2026-01-15 10:05:18,motion detected,E2,W1,W1
340,E1_turn_on_alert_W1,2026-01-15 12:00:16,motion detected,E1,W1,W1
341,E2_dim_alert_W1,2026-01-15 12:05:14,motion detected,E2,W1,W1
342,E1_turn_on_alert_W1,2026-01-15 14:00:14,motion detected,E1,W1,W1
343,E2_dim_alert_W1,2026-01-15 14:05:11,motion detected,E2,W1,W1
344,E1_turn_on_alert_W1,2026-01-15 16:00:13,motion detected,E1,W1,W1
345,E2_dim_alert_W1,2026-01-15 16:05:11,motion detected,E2,W1,W1
346,E1_turn_on_alert_W1,2026-01-15 18:00:13,motion detected,E1,W1,W1
347,E2_dim_alert_W1,2026-01-15 18:05:22,motion detected,E2,W1,W1
348,E1_turn_on_alert_W1,2026-01-15 20:00:15,motion detected,E1,W1,W1
349,E2_dim_alert_W1,2026-01-15 20:05:24,motion detected,E2,W1,W1
350,E1_turn_on_alert_W1,2026-01-15 22:00:12,motion detected,E1,W1,W1
351,E2_dim_alert_W1,2026-01-15 22:05:15,motion detected,E2,W1,W1
352,E1_turn_on_alert_W1,2026-01-16 00:00:12,motion detected,E1,W1,W1
353,E2_dim_alert_W1,2026-01-16 00:05:14,motion detected,E2,W1,W1
354,E1_turn_on_alert_W1,2026-01-16 02:00:13,motion detected,E1,W1,W1
355,E2_dim_alert_W1,2026-01-16 02:05:22,motion detected,E2,W1,W1
356,E1_turn_on_alert_W1,2026-01-16 04:00:15,motion detected,E1,W1,W1
357,E2_dim_alert_W1,2026-01-16 04:05:18,motion detected,E2,W1,W1
358,E1_turn_on_alert_W1,2026-01-16 06:00:12,motion detected,E1,W1,W1
359,E2_dim_alert_W1,2026-01-16 06:05:20,motion detected,E2,W1,W1
360,E1_turn_on_alert_W1,2026-01-16 08:00:16,motion detected,E1,W1,W1
361,E2_dim_alert_W1,2026-01-16 08:05:18,motion detected,E2,W1,W1
362,E1_turn_on_alert_W1,2026-01-16 10:00:12,motion detected,E1,W1,W1
363,E2_dim_alert_W1,2026-01-16 10:05:18,motion detected,E2,W1,W1
364,E1_turn_on_alert_W1,2026-01-16 12:00:13,motion detected,E1,W1,W1
365,E2_dim_alert_W1,2026-01-16 12:05:16,motion detected,E2,W1,W1
366,E1_turn_on_alert_W1,2026-01-16 14:00:14,motion detected,E1,W1,W1
367,E2_dim_alert_W1,2026-01-16 14:05:11,motion detected,E2,W1,W1
368,E1_turn_on_alert_W1,2026-01-16 16:00:14,motion detected,E1,W1,W1
369,E2_dim_alert_W1,2026-01-16 16:05:23,motion detected,E2,W1,W1
370,E1_turn_on_alert_W1,2026-01-16 18:00:08,motion detected,E1,W1,W1
371,E2_dim_alert_W1,2026-01-16 18:05:14,motion detected,E2,W1,W1
372,E1_turn_on_alert_W1,2026-01-16 20:00:10,motion detected,E1,W1,W1
373,E2_dim_alert_W1,2026-01-16 20:05:23,motion detected,E2,W1,W1
374,E1_turn_on_alert_W1,2026-01-16 22:00:16,motion detected,E1,W1,W1
375,E2_dim_alert_W1,2026-01-16 22:05:18,motion detected,E2,W1,W1
376,E1_turn_on_alert_W1,2026-01-17 00:00:15,motion detected,E1,W1,W1
377,E2_dim_alert_W1,2026-01-17 00:05:16,motion detected,E2,W1,W1
378,E1_turn_on_alert_W1,2026-01-17 02:00:16,motion detected,E1,W1,W1
379,E2_dim_alert_W1,2026-01-17 02:05:15,motion detected,E2,W1,W1
380,E1_turn_on_alert_W1,2026-01-17 04:00:15,motion detected,E1,W1,W1
381,E2_dim_alert_W1,2026-01-17 04:05:20,motion detected,E2,W1,W1
382,E1_turn_on_alert_W1,2026-01-17 06:00:11,motion detected,E1,W1,W1
383,E2_dim_alert_W1,2026-01-17 06:05:23,motion detected,E2,W1,W1
384,E1_turn_on_alert_W1,2026-01-17 08:00:10,motion detected,E1,W1,W1
385,E2_dim_alert_W1,2026-01-17 08:05:19,motion detected,E2,W1,W1
386,E1_turn_on_alert_W1,2026-01-17 10:00:16,motion detected,E1,W1,W1
387,E2_dim_alert_W1,2026-01-17 10:05:17,motion detected,E2,W1,W1
388,E1_turn_on_alert_W1,2026-01-17 12:00:12,motion detected,E1,W1,W1
389,E2_dim_alert_W1,2026-01-17 12:05:16,motion detected,E2,W1,W1
390,E1_turn_on_alert_W1,2026-01-17 14:00:08,motion detected,E1,W1,W1
391,E2_dim_alert_W1,2026-01-17 14:05:14,motion detected,E2,W1,W1
392,E1_turn_on_alert_W1,2026-01-17 16:00:07,motion detected,E1,W1,W1
393,E2_dim_alert_W1,2026-01-17 16:05:14,motion detected,E2,W1,W1
394,E1_turn_on_alert_W1,2026-01-17 18:00:12,motion detected,E1,W1,W1
395,E2_dim_alert_W1,2026-01-17 18:05:20,motion detected,E2,W1,W1
396,E1_turn_on_alert_W1,2026-01-17 20:00:09,motion detected,E1,W1,W1
397,E2_dim_alert_W1,2026-01-17 20:05:16,motion detected,E2,W1,W1
398,E1_turn_on_alert_W1,2026-01-17 22:00:09,motion detected,E1,W1,W1
399,E2_dim_alert_W1,2026-01-17 22:05:16,motion detected,E2,W1,W1
400,E1_turn_on_alert_W1,2026-01-18 00:00:09,motion detected,E1,W1,W1
401,E2_dim_alert_W1,2026-01-18 00:05:13,motion detected,E2,W1,W1
