c_a,a_cmd,t,s_pre,s_post,d,id
122,turn_on,2026-01-16 20:00:02,dimmed,ON,E1,E1_light
123,dim,2026-01-16 20:05:20,ON,dimmed,E1,E1_light
124,turn_on,2026-01-16 22:00:06,dimmed,ON,E1,E1_light
125,dim,2026-01-16 22:05:14,ON,dimmed,E1,E1_light
126,turn_on,2026-01-17 00:00:06,dimmed,ON,E1,E1_light
127,dim,2026-01-17 00:05:15,ON,dimmed,E1,E1_light
128,turn_on,2026-01-17 02:00:05,dimmed,ON,E1,E1_light
129,dim,2026-01-17 02:05:14,ON,dimmed,E1,E1_light
130,turn_on,2026-01-17 04:00:07,dimmed,ON,E1,E1_light
131,dim,2026-01-17 04:05:16,ON,dimmed,E1,E1_light
132,turn_on,2026-01-17 06:00:04,dimmed,ON,E1,E1_light
133,dim,2026-01-17 06:05:20,ON,dimmed,E1,E1_light
134,turn_on,2026-01-17 08:00:06,dimmed,ON,E1,E1_light
135,dim,2026-01-17 08:05:18,ON,dimmed,E1,E1_light
136,turn_on,2026-01-17 10:00:06,dimmed,ON,E1,E1_light
137,dim,2026-01-17 10:05:16,ON,dimmed,E1,E1_light
138,turn_on,2026-01-17 12:00:04,dimmed,ON,E1,E1_light
139,dim,2026-01-17 12:05:15,ON,dimmed,E1,E1_light
140,turn_on,2026-01-17 14:00:02,dimmed,ON,E1,E1_light
141,dim,2026-01-17 14:05:13,ON,dimmed,E1,E1_light
142,turn_on,2026-01-17 16:00:03,dimmed,ON,E1,E1_light
143,dim,2026-01-17 16:05:10,ON,dimmed,E1,E1_light
144,turn_on,2026-01-17 18:00:06,dimmed,ON,E1,E1_light
145,dim,2026-01-17 18:05:18,ON,dimmed,E1,E1_light
146,turn_on,2026-01-17 20:00:04,dimmed,ON,E1,E1_light
147,dim,2026-01-17 20:05:14,ON,dimmed,E1,E1_light
148,turn_on,2026-01-17 22:00:03,dimmed,ON,E1,E1_light
149,dim,2026-01-17 22:05:14,ON,dimmed,E1,E1_light
150,turn_on,2026-01-18 00:00:03,dimmed,ON,E1,E1_light
151,dim,2026-01-18 00:05:12,ON,dimmed,E1,E1_light
