c_s,a_s,t,val,d,sid
15,plate_captured,2026-01-13 18:07:22,AAA115,E1,E1_camera
16,motion_detected,2026-01-13 18:07:48,1,E1,E1_motion
16,plate_captured,2026-01-13 18:07:52,AAA116,E1,E1_camera
17,motion_detected,2026-01-13 18:08:18,1,E1,E1_motion
17,plate_captured,2026-01-13 18:08:21,AAA117,E1,E1_camera
18,motion_detected,2026-01-13 18:08:48,1,E1,E1_motion
18,plate_captured,2026-01-13 18:08:49,AAA118,E1,E1_camera
19,motion_detected,2026-01-13 18:09:18,1,E1,E1_motion
19,plate_captured,2026-01-13 18:09:21,AAA119,E1,E1_camera
20,motion_detected,2026-01-13 18:09:48,1,E1,E1_motion
20,plate_captured,2026-01-13 18:09:51,AAA120,E1,E1_camera
21,motion_detected,2026-01-13 18:10:18,1,E1,E1_motion
21,plate_captured,2026-01-13 18:10:21,AAA121,E1,E1_camera
22,motion_detected,2026-01-13 18:10:48,1,E1,E1_motion
22,plate_captured,2026-01-13 18:10:51,AAA122,E1,E1_camera
23,motion_detected,2026-01-13 18:11:18,1,E1,E1_motion
23,plate_captured,2026-01-13 18:11:22,AAA123,E1,E1_camera
24,motion_detected,2026-01-13 18:11:48,1,E1,E1_motion
24,plate_captured,2026-01-13 18:11:51,AAA124,E1,E1_camera
25,motion_detected,2026-01-13 18:12:18,1,E1,E1_motion
25,plate_captured,2026-01-13 18:12:22,AAA125,E1,E1_camera
26,motion_detected,2026-01-13 18:12:48,1,E1,E1_motion
26,plate_captured,2026-01-13 18:12:50,AAA126,E1,E1_camera
27,motion_detected,2026-01-13 18:13:18,1,E1,E1_motion
27,plate_captured,2026-01-13 18:13:19,AAA127,E1,E1_camera
28,motion_detected,2026-01-13 18:13:48,1,E1,E1_motion
28,plate_captured,2026-01-13 18:13:49,AAA128,E1,E1_camera
29,motion_detected,2026-01-13 18:14:18,1,E1,E1_motion
29,plate_captured,2026-01-13 18:14:19,AAA129,E1,E1_camera
30,motion_detected,2026-01-13 18:14:48,1,E1,E1_motion
30,plate_captured,2026-01-13 18:14:51,AAA130,E1,E1_camera
31,motion_detected,2026-01-13 18:15:18,1,E1,E1_motion
31,plate_captured,2026-01-13 18:15:20,AAA131,E1,E1_camera
32,motion_detected,2026-01-13 18:15:48,1,E1,E1_motion
32,plate_captured,2026-01-13 18:15:50,AAA132,E1,E1_camera
33,motion_detected,2026-01-13 18:16:18,1,E1,E1_motion
33,plate_captured,2026-01-13 18:16:20,AAA133,E1,E1_camera
34,motion_detected,2026-01-13 18:16:48,1,E1,E1_motion
34,plate_captured,2026-01-13 18:16:49,AAA134,E1,E1_camera
35,motion_detected,2026-01-13 18:17:18,1,E1,E1_motion
35,plate_captured,2026-01-13 18:17:21,AAA135,E1,E1_camera
36,motion_detected,2026-01-13 18:17:48,1,E1,E1_motion
36,plate_captured,2026-01-13 18:17:51,AAA136,E1,E1_camera
37,motion_detected,2026-01-13 18:18:18,1,E1,E1_motion
37,plate_captured,2026-01-13 18:18:21,AAA137,E1,E1_camera
38,motion_detected,2026-01-13 18:18:48,1,E1,E1_motion
38,plate_captured,2026-01-13 18:18:49,AAA138,E1,E1_camera
39,motion_detected,2026-01-13 18:19:18,1,E1,E1_motion
39,plate_captured,2026-01-13 18:19:22,AAA139,E1,E1_camera
40,motion_detected,2026-01-13 18:19:48,1,E1,E1_motion
40,plate_captured,2026-01-13 18:19:50,AAA140,E1,E1_camera
41,motion_detected,2026-01-13 18:20:18,1,E1,E1_motion
41,plate_captured,2026-01-13 18:20:20,AAA141,E1,E1_camera
42,motion_detected,2026-01-13 18:20:48,1,E1,E1_motion
42,plate_captured,2026-01-13 18:20:52,AAA142,E1,E1_camera
43,motion_detected,2026-01-13 18:21:18,1,E1,E1_motion
43,plate_captured,2026-01-13 18:21:22,AAA143,E1,E1_camera
44,motion_detected,2026-01-13 18:21:48,1,E1,E1_motion
44,plate_captured,2026-01-13 18:21:51,AAA144,E1,E1_camera
45,motion_detected,2026-01-13 18:22:18,1,E1,E1_motion
45,plate_captured,2026-01-13 18:22:19,AAA145,E1,E1_camera
46,motion_detected,2026-01-13 18:22:48,1,E1,E1_motion
46,plate_captured,2026-01-13 18:22:49,AAA146,E1,E1_camera
47,motion_detected,2026-01-13 18:23:18,1,E1,E1_motion
47,plate_captured,2026-01-13 18:23:20,AAA147,E1,E1_camera
48,motion_detected,2026-01-13 18:23:48,1,E1,E1_motion
48,plate_captured,2026-01-13 18:23:52,AAA148,E1,E1_camera
49,motion_detected,2026-01-13 18:24:18,1,E1,E1_motion
49,plate_captured,2026-01-13 18:24:20,AAA149,E1,E1_camera
50,motion_detected,2026-01-13 18:24:48,1,E1,E1_motion
50,plate_captured,2026-01-13 18:24:50,AAA150,E1,E1_camera
52,motion_detected,2026-01-13 22:00:00,1,E1,E1_motion
52,plate_captured,2026-01-13 22:00:04,BBB201,E1,E1_camera
54,motion_detected,2026-01-14 00:00:00,1,E1,E1_motion
54,plate_captured,2026-01-14 00:00:04,BBB202,E1,E1_camera
56,motion_detected,2026-01-14 02:00:00,1,E1,E1_motion
56,plate_captured,2026-01-14 02:00:02,BBB203,E1,E1_camera
58,motion_detected,2026-01-14 04:00:00,1,E1,E1_motion
58,plate_captured,2026-01-14 04:00:03,BBB204,E1,E1_camera
60,motion_detected,2026-01-14 06:00:00,1,E1,E1_motion
60,plate_captured,2026-01-14 06:00:02,BBB205,E1,E1_camera
62,motion_detected,2026-01-14 08:00:00,1,E1,E1_motion
62,plate_captured,2026-01-14 08:00:03,BBB206,E1,E1_camera
64,motion_detected,2026-01-14 10:00:00,1,E1,E1_motion
64,plate_captured,2026-01-14 10:00:02,BBB207,E1,E1_camera
66,motion_detected,2026-01-14 12:00:00,1,E1,E1_motion
66,plate_captured,2026-01-14 12:00:03,BBB208,E1,E1_camera
68,motion_detected,2026-01-14 14:00:00,1,E1,E1_motion
68,plate_captured,2026-01-14 14:00:03,BBB209,E1,E1_camera
70,motion_detected,2026-01-14 16:00:00,1,E1,E1_motion
70,plate_captured,2026-01-14 16:00:04,BBB210,E1,E1_camera
72,motion_detected,2026-01-14 18:00:00,1,E1,E1_motion
72,plate_captured,2026-01-14 18:00:01,BBB211,E1,E1_camera
74,motion_detected,2026-01-14 20:00:00,1,E1,E1_motion
74,plate_captured,2026-01-14 20:00:02,BBB212,E1,E1_camera
76,motion_detected,2026-01-14 22:00:00,1,E1,E1_motion
76,plate_captured,2026-01-14 22:00:02,BBB213,E1,E1_camera
78,motion_detected,2026-01-15 00:00:00,1,E1,E1_motion
78,plate_captured,2026-01-15 00:00:01,BBB214,E1,E1_camera
80,motion_detected,2026-01-15 02:00:00,1,E1,E1_motion
80,plate_captured,2026-01-15 02:00:02,BBB215,E1,E1_camera
82,motion_detected,2026-01-15 04:00:00,1,E1,E1_motion
82,plate_captured,2026-01-15 04:00:03,BBB216,E1,E1_camera
84,motion_detected,2026-01-15 06:00:00,1,E1,E1_motion
84,plate_captured,2026-01-15 06:00:03,BBB217,E1,E1_camera
86,motion_detected,2026-01-15 08:00:00,1,E1,E1_motion
86,plate_captured,2026-01-15 08:00:01,BBB218,E1,E1_camera
88,motion_detected,2026-01-15 10:00:00,1,E1,E1_motion
88,plate_captured,2026-01-15 10:00:03,BBB219,E1,E1_camera
90,motion_detected,2026-01-15 12:00:00,1,E1,E1_motion
90,plate_captured,2026-01-15 12:00:04,BBB220,E1,E1_camera
92,motion_detected,2026-01-15 14:00:00,1,E1,E1_motion
92,plate_captured,2026-01-15 14:00:02,BBB221,E1,E1_camera
94,motion_detected,2026-01-15 16:00:00,1,E1,E1_motion
94,plate_captured,2026-01-15 16:00:01,BBB222,E1,E1_camera
96,motion_detected,2026-01-15 18:00:00,1,E1,E1_motion
96,plate_captured,2026-01-15 18:00:02,BBB223,E1,E1_camera
98,motion_detected,2026-01-15 20:00:00,1,E1,E1_motion
98,plate_captured,2026-01-15 20:00:04,BBB224,E1,E1_camera
100,motion_detected,2026-01-15 22:00:00,1,E1,E1_motion
100,plate_captured,2026-01-15 22:00:02,BBB225,E1,E1_camera
102,motion_detected,2026-01-16 00:00:00,1,E1,E1_motion
102,plate_captured,2026-01-16 00:00:04,BBB226,E1,E1_camera
104,motion_detected,2026-01-16 02:00:00,1,E1,E1_motion
104,plate_captured,2026-01-16 02:00:04,BBB227,E1,E1_camera
106,motion_detected,2026-01-16 04:00:00,1,E1,E1_motion
106,plate_captured,2026-01-16 04:00:04,BBB228,E1,E1_camera
108,motion_detected,2026-01-16 06:00:00,1,E1,E1_motion
108,plate_captured,2026-01-16 06:00:01,BBB229,E1,E1_camera
110,motion_detected,2026-01-16 08:00:00,1,E1,E1_motion
110,plate_captured,2026-01-16 08:00:03,BBB230,E1,E1_camera
112,motion_detected,2026-01-16 10:00:00,1,E1,E1_motion
112,plate_captured,2026-01-16 10:00:01,BBB231,E1,E1_camera
114,motion_detected,2026-01-16 12:00:00,1,E1,E1_motion
114,plate_captured,2026-01-16 12:00:03,BBB232,E1,E1_camera
116,motion_detected,2026-01-16 14:00:00,1,E1,E1_motion
116,plate_captured,2026-01-16 14:00:04,BBB233,E1,E1_camera
118,motion_detected,2026-01-16 16:00:00,1,E1,E1_motion
118,plate_captured,2026-01-16 16:00:03,BBB234,E1,E1_camera
120,motion_detected,2026-01-16 18:00:00,1,E1,E1_motion
120,plate_captured,2026-01-16 18:00:01,BBB235,E1,E1_camera
122,motion_detected,2026-01-16 20:00:00,1,E1,E1_motion
122,plate_captured,2026-01-16 20:00:01,BBB236,E1,E1_camera
124,motion_detected,2026-01-16 22:00:00,1,E1,E1_motion
124,plate_captured,2026-01-16 22:00:03,BBB237,E1,E1_camera
126,motion_detected,2026-01-17 00:00:00,1,E1,E1_motion
126,plate_captured,2026-01-17 00:00:02,BBB238,E1,E1_camera
128,motion_detected,2026-01-17 02:00:00,1,E1,E1_motion
128,plate_captured,2026-01-17 02:00:04,BBB239,E1,E1_camera
130,motion_detected,2026-01-17 04:00:00,1,E1,E1_motion
130,plate_captured,2026-01-17 04:00:03,BBB240,E1,E1_camera
132,motion_detected,2026-01-17 06:00:00,1,E1,E1_motion
132,plate_captured,2026-01-17 06:00:01,BBB241,E1,E1_camera
134,motion_detected,2026-01-17 08:00:00,1,E1,E1_motion
134,plate_captured,2026-01-17 08:00:02,BBB242,E1,E1_camera
136,motion_detected,2026-01-17 10:00:00,1,E1,E1_motion
136,plate_captured,2026-01-17 10:00:02,BBB243,E1,E1_camera
138,motion_detected,2026-01-17 12:00:00,1,E1,E1_motion
138,plate_captured,2026-01-17 12:00:01,BBB244,E1,E1_camera
140,motion_detected,2026-01-17 14:00:00,1,E1,E1_motion
140,plate_captured,2026-01-17 14:00:01,BBB245,E1,E1_camera
142,motion_detected,2026-01-17 16:00:00,1,E1,E1_motion
142,plate_captured,2026-01-17 16:00:02,BBB246,E1,E1_camera
144,motion_detected,2026-01-17 18:00:00,1,E1,E1_motion
144,plate_captured,2026-01-17 18:00:02,BBB247,E1,E1_camera
146,motion_detected,2026-01-17 20:00:00,1,E1,E1_motion
146,plate_captured,2026-01-17 20:00:03,BBB248,E1,E1_camera
148,motion_detected,2026-01-17 22:00:00,1,E1,E1_motion
148,plate_captured,2026-01-17 22:00:02,BBB249,E1,E1_camera
150,motion_detected,2026-01-18 00:00:00,1,E1,E1_motion
150,plate_captured,2026-01-18 00:00:01,BBB250,E1,E1_camera
