c_i,a_i,t,m_i,d_s,d_t,d_p
94,E1_turn_on_alert_W1,2026-01-15 12:00:10,motion detected,E1,W1,E1
95,E2_dim_alert_E1,2026-01-15 12:05:17,motion detected,E2,E1,E1
96,E1_turn_on_alert_E2,2026-01-15 14:00:09,motion detected,E1,E2,E1
96,E1_turn_on_alert_W1,2026-01-15 14:00:13,motion detected,E1,W1,E1
97,E2_dim_alert_E1,2026-01-15 14:05:17,motion detected,E2,E1,E1
99,E1_turn_on_alert_E2,2026-01-15 16:00:06,motion detected,E1,E2,E1
99,E1_turn_on_alert_W1,2026-01-15 16:00:10,motion detected,E1,W1,E1
100,E2_dim_alert_E1,2026-01-15 16:05:11,motion detected,E2,E1,E1
101,E1_turn_on_alert_E2,2026-01-15 18:00:06,motion detected,E1,E2,E1
101,E1_turn_on_alert_W1,2026-01-15 18:00:10,motion detected,E1,W1,E1
102,E2_dim_alert_E1,2026-01-15 18:05:15,motion detected,E2,E1,E1
103,E1_turn_on_alert_W1,2026-01-15 20:00:05,motion detected,E1,W1,E1
104,E2_dim_alert_E1,2026-01-15 20:05:16,motion detected,E2,E1,E1
106,E1_turn_on_alert_E2,2026-01-15 22:00:12,motion detected,E1,E2,E1
106,E1_turn_on_alert_W1,2026-01-15 22:00:15,motion detected,E1,W1,E1
107,E2_dim_alert_E1,2026-01-15 22:05:19,motion detected,E2,E1,E1
108,E1_turn_on_alert_E2,2026-01-16 00:00:11,motion detected,E1,E2,E1
108,E1_turn_on_alert_W1,2026-01-16 00:00:13,motion detected,E1,W1,E1
109,E2_dim_alert_E1,2026-01-16 00:05:10,motion detected,E2,E1,E1
110,E1_turn_on_alert_E2,2026-01-16 02:00:08,motion detected,E1,E2,E1
110,E1_turn_on_alert_W1,2026-01-16 02:00:09,motion detected,E1,W1,E1
111,E2_dim_alert_E1,2026-01-16 02:05:20,motion detected,E2,E1,E1
112,E1_turn_on_alert_E2,2026-01-16 04:00:09,motion detected,E1,E2,E1
112,E1_turn_on_alert_W1,2026-01-16 04:00:11,motion detected,E1,W1,E1
113,E2_dim_alert_E1,2026-01-16 04:05:11,motion detected,E2,E1,E1
114,E1_turn_on_alert_E2,2026-01-16 06:00:07,motion detected,E1,E2,E1
115,E2_dim_alert_E1,2026-01-16 06:05:15,motion detected,E2,E1,E1
116,E1_turn_on_alert_E2,2026-01-16 08:00:08,motion detected,E1,E2,E1
116,E1_turn_on_alert_W1,2026-01-16 08:00:10,motion detected,E1,W1,E1
117,E2_dim_alert_E1,2026-01-16 08:05:15,motion detected,E2,E1,E1
118,E1_turn_on_alert_E2,2026-01-16 10:00:09,motion detected,E1,E2,E1
118,E1_turn_on_alert_W1,2026-01-16 10:00:11,motion detected,E1,W1,E1
120,E1_turn_on_alert_E2,2026-01-16 12:00:05,motion detected,E1,E2,E1
120,E1_turn_on_alert_W1,2026-01-16 12:00:08,motion detected,E1,W1,E1
121,E2_dim_alert_E1,2026-01-16 12:05:08,motion detected,E2,E1,E1
122,E1_turn_on_alert_E2,2026-01-16 14:00:07,motion detected,E1,E2,E1
122,E1_turn_on_alert_W1,2026-01-16 14:00:09,motion detected,E1,W1,E1
123,E2_dim_alert_E1,2026-01-16 14:05:18,motion detected,E2,E1,E1
124,E1_turn_on_alert_E2,2026-01-16 16:00:09,motion detected,E1,E2,E1
124,E1_turn_on_alert_W1,2026-01-16 16:00:13,motion detected,E1,W1,E1
125,E2_dim_alert_E1,2026-01-16 16:05:11,motion detected,E2,E1,E1
127,E1_turn_on_alert_W1,2026-01-16 18:00:09,motion detected,E1,W1,E1
128,E2_dim_alert_E1,2026-01-16 18:05:14,motion detected,E2,E1,E1
129,E1_turn_on_alert_E2,2026-01-16 20:00:07,motion detected,E1,E2,E1
129,E1_turn_on_alert_W1,2026-01-16 20:00:08,motion detected,E1,W1,E1
130,E2_dim_alert_E1,2026-01-16 20:05:15,motion detected,E2,E1,E1
131,E1_turn_on_alert_E2,2026-01-16 22:00:07,motion detected,E1,E2,E1
131,E1_turn_on_alert_W1,2026-01-16 22:00:08,motion detected,E1,W1,E1
132,E2_dim_alert_E1,2026-01-16 22:05:22,motion detected,E2,E1,E1
133,E1_turn_on_alert_E2,2026-01-17 00:00:09,motion detected,E1,E2,E1
133,E1_turn_on_alert_W1,2026-01-17 00:00:10,motion detected,E1,W1,E1
134,E2_dim_alert_E1,2026-01-17 00:05:10,motion detected,E2,E1,E1
135,E1_turn_on_alert_E2,2026-01-17 02:00:07,motion detected,E1,E2,E1
135,E1_turn_on_alert_W1,2026-01-17 02:00:09,motion detected,E1,W1,E1
136,E2_dim_alert_E1,2026-01-17 02:05:17,motion detected,E2,E1,E1
137,E1_turn_on_alert_E2,2026-01-17 04:00:08,motion detected,E1,E2,E1
137,E1_turn_on_alert_W1,2026-01-17 04:00:09,motion detected,E1,W1,E1
138,E2_dim_alert_E1,2026-01-17 04:05:16,motion detected,E2,E1,E1
140,E1_turn_on_alert_E2,2026-01-17 06:00:10,motion detected,E1,E2,E1
140,E1_turn_on_alert_W1,2026-01-17 06:00:11,motion detected,E1,W1,E1
141,E2_dim_alert_E1,2026-01-17 06:05:24,motion detected,E2,E1,E1
142,E1_turn_on_alert_E2,2026-01-17 08:00:07,motion detected,E1,E2,E1
142,E1_turn_on_alert_W1,2026-01-17 08:00:11,motion detected,E1,W1,E1
143,E2_dim_alert_E1,2026-01-17 08:05:13,motion detected,E2,E1,E1
144,E1_turn_on_alert_E2,2026-01-17 10:00:10,motion detected,E1,E2,E1
144,E1_turn_on_alert_W1,2026-01-17 10:00:12,motion detected,E1,W1,E1
145,E2_dim_alert_E1,2026-01-17 10:05:20,motion detected,E2,E1,E1
146,E1_turn_on_alert_E2,2026-01-17 12:00:09,motion detected,E1,E2,E1
146,E1_turn_on_alert_W1,2026-01-17 12:00:10,motion detected,E1,W1,E1
147,E2_dim_alert_E1,2026-01-17 12:05:13,motion detected,E2,E1,E1
149,E1_turn_on_alert_E2,2026-01-17 14:00:09,motion detected,E1,E2,E1
149,E1_turn_on_alert_W1,2026-01-17 14:00:11,motion detected,E1,W1,E1
150,E2_dim_alert_E1,2026-01-17 14:05:19,motion detected,E2,E1,E1
151,E1_turn_on_alert_E2,2026-01-17 16:00:06,motion detected,E1,E2,E1
151,E1_turn_on_alert_W1,2026-01-17 16:00:07,motion detected,E1,W1,E1
152,E2_dim_alert_E1,2026-01-17 16:05:09,motion detected,E2,E1,E1
153,E1_turn_on_alert_E2,2026-01-17 18:00:05,motion detected,E1,E2,E1
153,E1_turn_on_alert_W1,2026-01-17 18:00:08,motion detected,E1,W1,E1
154,E2_dim_alert_E1,2026-01-17 18:05:16,motion detected,E2,E1,E1
155,E1_turn_on_alert_E2,2026-01-17 20:00:08,motion detected,E1,E2,E1
155,E1_turn_on_alert_W1,2026-01-17 20:00:10,motion detected,E1,W1,E1
156,E2_dim_alert_E1,2026-01-17 20:05:14,motion detected,E2,E1,E1
157,E1_turn_on_alert_E2,2026-01-17 22:00:07,motion detected,E1,E2,E1
157,E1_turn_on_alert_W1,2026-01-17 22:00:10,motion detected,E1,W1,E1
158,E2_dim_alert_E1,2026-01-17 22:05:22,motion detected,E2,E1,E1
159,E1_turn_on_alert_E2,2026-01-18 00:00:05,motion detected,E1,E2,E1
159,E1_turn_on_alert_W1,2026-01-18 00:00:07,motion detected,E1,W1,E1
160,E2_dim_alert_E1,2026-01-18 00:05:17,motion detected,E2,E1,E1
