c_s,a_s,t,val,d,sid
51,motion_detected,2026-01-13 18:24:56,1,E1,E1_motion
51,plate_captured,2026-01-13 18:24:57,AAA150,E1,E1_camera
53,plate_captured,2026-01-13 22:00:04,BBB201,E1,E1_camera
55,motion_detected,2026-01-14 00:00:00,1,E1,E1_motion
55,plate_captured,2026-01-14 00:00:04,BBB202,E1,E1_camera
57,motion_detected,2026-01-14 02:00:00,1,E1,E1_motion
57,plate_captured,2026-01-14 02:00:03,BBB203,E1,E1_camera
59,motion_detected,2026-01-14 04:00:00,1,E1,E1_motion
59,plate_captured,2026-01-14 04:00:01,BBB204,E1,E1_camera
61,motion_detected,2026-01-14 06:00:00,1,E1,E1_motion
61,plate_captured,2026-01-14 06:00:01,BBB205,E1,E1_camera
63,motion_detected,2026-01-14 08:00:00,1,E1,E1_motion
63,plate_captured,2026-01-14 08:00:01,BBB206,E1,E1_camera
66,motion_detected,2026-01-14 10:00:00,1,E1,E1_motion
66,plate_captured,2026-01-14 10:00:04,BBB207,E1,E1_camera
68,motion_detected,2026-01-14 12:00:00,1,E1,E1_motion
68,plate_captured,2026-01-14 12:00:02,BBB208,E1,E1_camera
70,motion_detected,2026-01-14 14:00:00,1,E1,E1_motion
70,plate_captured,2026-01-14 14:00:03,BBB209,E1,E1_camera
72,motion_detected,2026-01-14 16:00:00,1,E1,E1_motion
72,plate_captured,2026-01-14 16:00:04,BBB210,E1,E1_camera
74,motion_detected,2026-01-14 18:00:00,1,E1,E1_motion
74,plate_captured,2026-01-14 18:00:01,BBB211,E1,E1_camera
76,motion_detected,2026-01-14 20:00:00,1,E1,E1_motion
76,plate_captured,2026-01-14 20:00:01,BBB212,E1,E1_camera
78,motion_detected,2026-01-14 22:00:00,1,E1,E1_motion
78,plate_captured,2026-01-14 22:00:03,BBB213,E1,E1_camera
81,motion_detected,2026-01-15 00:00:00,1,E1,E1_motion
81,plate_captured,2026-01-15 00:00:01,BBB214,E1,E1_camera
83,motion_detected,2026-01-15 02:00:00,1,E1,E1_motion
83,plate_captured,2026-01-15 02:00:04,BBB215,E1,E1_camera
85,motion_detected,2026-01-15 04:00:00,1,E1,E1_motion
85,plate_captured,2026-01-15 04:00:04,BBB216,E1,E1_camera
87,motion_detected,2026-01-15 06:00:00,1,E1,E1_motion
87,plate_captured,2026-01-15 06:00:04,BBB217,E1,E1_camera
89,motion_detected,2026-01-15 08:00:00,1,E1,E1_motion
89,plate_captured,2026-01-15 08:00:02,BBB218,E1,E1_camera
91,motion_detected,2026-01-15 10:00:00,1,E1,E1_motion
91,plate_captured,2026-01-15 10:00:02,BBB219,E1,E1_camera
94,plate_captured,2026-01-15 12:00:04,BBB220,E1,E1_camera
96,motion_detected,2026-01-15 14:00:00,1,E1,E1_motion
96,plate_captured,2026-01-15 14:00:03,BBB221,E1,E1_camera
98,motion_detected,2026-01-15 16:00:00,1,E1,E1_motion
98,plate_captured,2026-01-15 16:00:01,BBB222,E1,E1_camera
101,motion_detected,2026-01-15 18:00:00,1,E1,E1_motion
101,plate_captured,2026-01-15 18:00:03,BBB223,E1,E1_camera
103,motion_detected,2026-01-15 20:00:00,1,E1,E1_motion
103,plate_captured,2026-01-15 20:00:01,BBB224,E1,E1_camera
105,motion_detected,2026-01-15 22:00:00,1,E1,E1_motion
108,motion_detected,2026-01-16 00:00:00,1,E1,E1_motion
108,plate_captured,2026-01-16 00:00:04,BBB226,E1,E1_camera
110,motion_detected,2026-01-16 02:00:00,1,E1,E1_motion
110,plate_captured,2026-01-16 02:00:02,BBB227,E1,E1_camera
112,motion_detected,2026-01-16 04:00:00,1,E1,E1_motion
112,plate_captured,2026-01-16 04:00:03,BBB228,E1,E1_camera
114,motion_detected,2026-01-16 06:00:00,1,E1,E1_motion
114,plate_captured,2026-01-16 06:00:01,BBB229,E1,E1_camera
116,motion_detected,2026-01-16 08:00:00,1,E1,E1_motion
116,plate_captured,2026-01-16 08:00:03,BBB230,E1,E1_camera
118,motion_detected,2026-01-16 10:00:00,1,E1,E1_motion
118,plate_captured,2026-01-16 10:00:03,BBB231,E1,E1_camera
120,motion_detected,2026-01-16 12:00:00,1,E1,E1_motion
120,plate_captured,2026-01-16 12:00:02,BBB232,E1,E1_camera
122,motion_detected,2026-01-16 14:00:00,1,E1,E1_motion
122,plate_captured,2026-01-16 14:00:04,BBB233,E1,E1_camera
124,motion_detected,2026-01-16 16:00:00,1,E1,E1_motion
124,plate_captured,2026-01-16 16:00:03,BBB234,E1,E1_camera
126,motion_detected,2026-01-16 18:00:00,1,E1,E1_motion
126,plate_captured,2026-01-16 18:00:01,BBB235,E1,E1_camera
129,plate_captured,2026-01-16 20:00:02,BBB236,E1,E1_camera
131,motion_detected,2026-01-16 22:00:00,1,E1,E1_motion
131,plate_captured,2026-01-16 22:00:04,BBB237,E1,E1_camera
133,plate_captured,2026-01-17 00:00:03,BBB238,E1,E1_camera
135,motion_detected,2026-01-17 02:00:00,1,E1,E1_motion
135,plate_captured,2026-01-17 02:00:02,BBB239,E1,E1_camera
137,plate_captured,2026-01-17 04:00:04,BBB240,E1,E1_camera
139,motion_detected,2026-01-17 06:00:00,1,E1,E1_motion
142,motion_detected,2026-01-17 08:00:00,1,E1,E1_motion
142,plate_captured,2026-01-17 08:00:04,BBB242,E1,E1_camera
144,motion_detected,2026-01-17 10:00:00,1,E1,E1_motion
144,plate_captured,2026-01-17 10:00:04,BBB243,E1,E1_camera
146,motion_detected,2026-01-17 12:00:00,1,E1,E1_motion
146,plate_captured,2026-01-17 12:00:04,BBB244,E1,E1_camera
148,motion_detected,2026-01-17 14:00:00,1,E1,E1_motion
148,plate_captured,2026-01-17 14:00:03,BBB245,E1,E1_camera
151,motion_detected,2026-01-17 16:00:00,1,E1,E1_motion
151,plate_captured,2026-01-17 16:00:01,BBB246,E1,E1_camera
153,motion_detected,2026-01-17 18:00:00,1,E1,E1_motion
153,plate_captured,2026-01-17 18:00:02,BBB247,E1,E1_camera
155,motion_detected,2026-01-17 20:00:00,1,E1,E1_motion
155,plate_captured,2026-01-17 20:00:03,BBB248,E1,E1_camera
157,motion_detected,2026-01-17 22:00:00,1,E1,E1_motion
157,plate_captured,2026-01-17 22:00:03,BBB249,E1,E1_camera
159,plate_captured,2026-01-18 00:00:01,BBB250,E1,E1_camera
