c_a,a_cmd,t,s_pre,s_post,d,id
94,turn_on,2026-01-15 12:00:08,dimmed,ON,E1,E1_light
95,dim,2026-01-15 12:05:20,ON,dimmed,E1,E1_light
96,turn_on,2026-01-15 14:00:07,dimmed,ON,E1,E1_light
100,dim,2026-01-15 16:05:12,ON,dimmed,E1,E1_light
101,turn_on,2026-01-15 18:00:05,dimmed,ON,E1,E1_light
102,dim,2026-01-15 18:05:16,ON,dimmed,E1,E1_light
103,turn_on,2026-01-15 20:00:02,dimmed,ON,E1,E1_light
104,dim,2026-01-15 20:05:17,ON,dimmed,E1,E1_light
106,turn_on,2026-01-15 22:00:08,dimmed,ON,E1,E1_light
107,dim,2026-01-15 22:05:20,ON,dimmed,E1,E1_light
108,turn_on,2026-01-16 00:00:08,dimmed,ON,E1,E1_light
109,dim,2026-01-16 00:05:12,ON,dimmed,E1,E1_light
110,turn_on,2026-01-16 02:00:06,dimmed,ON,E1,E1_light
111,dim,2026-01-16 02:05:21,ON,dimmed,E1,E1_light
112,turn_on,2026-01-16 04:00:06,dimmed,ON,E1,E1_light
113,dim,2026-01-16 04:05:14,ON,dimmed,E1,E1_light
114,turn_on,2026-01-16 06:00:03,dimmed,ON,E1,E1_light
115,dim,2026-01-16 06:05:16,ON,dimmed,E1,E1_light
116,turn_on,2026-01-16 08:00:07,dimmed,ON,E1,E1_light
117,dim,2026-01-16 08:05:16,ON,dimmed,E1,E1_light
118,turn_on,2026-01-16 10:00:07,dimmed,ON,E1,E1_light
119,dim,2026-01-16 10:05:21,ON,dimmed,E1,E1_light
120,turn_on,2026-01-16 12:00:04,dimmed,ON,E1,E1_light
121,dim,2026-01-16 12:05:12,ON,dimmed,E1,E1_light
122,turn_on,2026-01-16 14:00:06,dimmed,ON,E1,E1_light
123,dim,2026-01-16 14:05:20,ON,dimmed,E1,E1_light
124,turn_on,2026-01-16 16:00:07,dimmed,ON,E1,E1_light
125,dim,2026-01-16 16:05:14,ON,dimmed,E1,E1_light
126,turn_on,2026-01-16 18:00:03,dimmed,ON,E1,E1_light
129,turn_on,2026-01-16 20:00:04,dimmed,ON,E1,E1_light
130,dim,2026-01-16 20:05:16,ON,dimmed,E1,E1_light
131,turn_on,2026-01-16 22:00:06,dimmed,ON,E1,E1_light
132,dim,2026-01-16 22:05:25,ON,dimmed,E1,E1_light
133,turn_on,2026-01-17 00:00:05,dimmed,ON,E1,E1_light
134,dim,2026-01-17 00:05:14,ON,dimmed,E1,E1_light
135,turn_on,2026-01-17 02:00:03,dimmed,ON,E1,E1_light
136,dim,2026-01-17 02:05:19,ON,dimmed,E1,E1_light
137,turn_on,2026-01-17 04:00:06,dimmed,ON,E1,E1_light
140,turn_on,2026-01-17 06:00:07,dimmed,ON,E1,E1_light
141,dim,2026-01-17 06:05:28,ON,dimmed,E1,E1_light
142,turn_on,2026-01-17 08:00:06,dimmed,ON,E1,E1_light
143,dim,2026-01-17 08:05:16,ON,dimmed,E1,E1_light
144,turn_on,2026-01-17 10:00:06,dimmed,ON,E1,E1_light
145,dim,2026-01-17 10:05:23,ON,dimmed,E1,E1_light
146,turn_on,2026-01-17 12:00:05,dimmed,ON,E1,E1_light
147,dim,2026-01-17 12:05:15,ON,dimmed,E1,E1_light
150,dim,2026-01-17 14:05:21,ON,dimmed,E1,E1_light
151,turn_on,2026-01-17 16:00:02,dimmed,ON,E1,E1_light
152,dim,2026-01-17 16:05:12,ON,dimmed,E1,E1_light
153,turn_on,2026-01-17 18:00:03,dimmed,ON,E1,E1_light
154,dim,2026-01-17 18:05:17,ON,dimmed,E1,E1_light
155,turn_on,2026-01-17 20:00:06,dimmed,ON,E1,E1_light
156,dim,2026-01-17 20:05:16,ON,dimmed,E1,E1_light
157,turn_on,2026-01-17 22:00:05,dimmed,ON,E1,E1_light
158,dim,2026-01-17 22:05:26,ON,dimmed,E1,E1_light
159,turn_on,2026-01-18 00:00:03,dimmed,ON,E1,E1_light
